Date,Midnight population,24-hour population
2008-10-01,149,156
2008-10-02,149,162
2008-10-03,141,157
2008-10-04,139,141
2008-10-05,139,139
2008-10-06,137,144
2008-10-07,136,148
2008-10-08,149,160
2008-10-09,141,152
2008-10-10,144,147
2008-10-11,143,144
2008-10-12,143,143
2008-10-13,143,143
2008-10-14,141,146
2008-10-15,138,143
2008-10-16,138,144
2008-10-17,141,147
2008-10-18,139,141
2008-10-19,139,139
2008-10-20,149,159
2008-10-21,147,153
2008-10-22,146,150
2008-10-23,138,160
2008-10-24,133,144
2008-10-25,138,140
2008-10-26,141,141
2008-10-27,130,144
2008-10-28,129,134
2008-10-29,122,132
2008-10-30,137,141
2008-10-31,135,140
2008-11-01,135,135
2008-11-02,135,135
2008-11-03,135,141
2008-11-04,142,142
2008-11-05,133,147
2008-11-06,140,150
2008-11-07,133,141
2008-11-08,133,133
2008-11-09,136,136
2008-11-10,134,138
2008-11-11,145,145
2008-11-12,143,163
2008-11-13,143,152
2008-11-14,137,147
2008-11-15,136,137
2008-11-16,136,136
2008-11-17,133,137
2008-11-18,133,141
2008-11-19,141,150
2008-11-20,154,174
2008-11-21,148,161
2008-11-22,147,148
2008-11-23,147,147
2008-11-24,152,157
2008-11-25,153,156
2008-11-26,153,157
2008-11-27,152,153
2008-11-28,151,154
2008-11-29,149,151
2008-11-30,149,149
2008-12-01,156,158
2008-12-02,150,159
2008-12-03,150,153
2008-12-04,154,160
2008-12-05,147,160
2008-12-06,146,147
2008-12-07,146,146
2008-12-08,132,150
2008-12-09,153,158
2008-12-10,147,162
2008-12-11,145,159
2008-12-12,136,148
2008-12-13,131,136
2008-12-14,131,131
2008-12-15,138,141
2008-12-16,126,145
2008-12-17,147,158
2008-12-18,142,152
2008-12-19,151,159
2008-12-20,151,151
2008-12-21,151,151
2008-12-22,144,157
2008-12-23,139,147
2008-12-24,136,140
2008-12-25,136,136
2008-12-26,136,136
2008-12-27,135,136
2008-12-28,134,135
2008-12-29,131,134
2008-12-30,130,132
2008-12-31,134,135
2009-01-01,134,134
2009-01-02,146,149
2009-01-03,147,147
2009-01-04,147,147
2009-01-05,147,152
2009-01-06,147,151
2009-01-07,155,164
2009-01-08,149,166
2009-01-09,128,152
2009-01-10,127,128
2009-01-11,128,129
2009-01-12,123,132
2009-01-13,107,126
2009-01-14,111,117
2009-01-15,89,111
2009-01-16,74,89
2009-01-17,74,74
2009-01-18,74,74
2009-01-19,74,74
2009-01-20,68,78
2009-01-21,47,68
2009-01-22,36,47
2009-01-23,31,36
2009-01-24,27,31
2009-01-25,27,27
2009-01-26,27,27
2009-01-27,25,28
2009-01-28,24,27
2009-01-29,24,31
2009-01-30,21,30
2009-01-31,17,21
2009-02-01,15,17
2009-02-02,15,15
2009-02-03,14,16
2009-02-04,7,14
2009-02-05,6,7
2009-02-06,3,6
2009-02-07,0,3
2009-02-08,0,0
2009-02-09,1,1
2009-02-10,0,9
2009-02-11,5,6
2009-02-12,1,5
2009-02-13,7,8
2009-02-14,7,7
2009-02-15,7,7
2009-02-16,7,7
2009-02-17,7,14
2009-02-18,2,9
2009-02-19,3,5
2009-02-20,6,9
2009-02-21,6,6
2009-02-22,6,6
2009-02-23,1,6
2009-02-24,5,6
2009-02-25,1,6
2009-02-26,9,10
2009-02-27,2,11
2009-02-28,2,2
2009-03-01,2,2
2009-03-02,1,3
2009-03-03,2,4
2009-03-04,9,11
2009-03-05,3,11
2009-03-06,0,3
2009-03-07,0,0
2009-03-08,0,0
2009-03-09,5,5
2009-03-10,0,5
2009-03-11,0,0
2009-03-12,12,12
2009-03-13,4,16
2009-03-14,4,4
2009-03-15,4,4
2009-03-16,5,8
2009-03-17,5,10
2009-03-18,0,5
2009-03-19,3,3
2009-03-20,11,15
2009-03-21,11,11
2009-03-22,11,11
2009-03-23,0,11
2009-03-24,7,7
2009-03-25,5,10
2009-03-26,4,9
2009-03-27,0,4
2009-03-28,4,4
2009-03-29,5,5
2009-03-30,7,12
2009-03-31,2,7
2009-04-01,3,4
2009-04-02,1,3
2009-04-03,5,5
2009-04-04,5,5
2009-04-05,5,5
2009-04-06,4,5
2009-04-07,5,8
2009-04-08,4,9
2009-04-09,4,8
2009-04-10,4,8
2009-04-11,4,4
2009-04-12,4,4
2009-04-13,4,7
2009-04-14,2,8
2009-04-15,4,6
2009-04-16,4,7
2009-04-17,1,5
2009-04-18,1,1
2009-04-19,1,1
2009-04-20,3,4
2009-04-21,3,6
2009-04-22,4,7
2009-04-23,12,16
2009-04-24,2,14
2009-04-25,2,2
2009-04-26,6,6
2009-04-27,1,7
2009-04-28,3,4
2009-04-29,4,6
2009-04-30,13,17
2009-05-01,8,20
2009-05-02,8,8
2009-05-03,7,8
2009-05-04,6,14
2009-05-05,3,9
2009-05-06,3,6
2009-05-07,10,11
2009-05-08,3,12
2009-05-09,20,21
2009-05-10,20,20
2009-05-11,1,22
2009-05-12,6,6
2009-05-13,3,9
2009-05-14,4,6
2009-05-15,6,9
2009-05-16,6,6
2009-05-17,6,6
