Date,Midnight population,24-hour population
2008-10-01,240,290
2008-10-02,259,286
2008-10-03,266,291
2008-10-04,244,267
2008-10-05,244,245
2008-10-06,261,289
2008-10-07,247,300
2008-10-08,269,310
2008-10-09,238,291
2008-10-10,236,269
2008-10-11,234,236
2008-10-12,235,235
2008-10-13,243,243
2008-10-14,252,292
2008-10-15,253,294
2008-10-16,256,294
2008-10-17,247,296
2008-10-18,239,248
2008-10-19,252,252
2008-10-20,287,303
2008-10-21,231,348
2008-10-22,247,307
2008-10-23,238,292
2008-10-24,242,293
2008-10-25,242,244
2008-10-26,241,242
2008-10-27,254,273
2008-10-28,256,313
2008-10-29,265,306
2008-10-30,249,310
2008-10-31,249,290
2008-11-01,250,251
2008-11-02,253,255
2008-11-03,270,307
2008-11-04,268,318
2008-11-05,267,306
2008-11-06,239,295
2008-11-07,241,276
2008-11-08,225,248
2008-11-09,224,225
2008-11-10,229,266
2008-11-11,233,234
2008-11-12,238,266
2008-11-13,225,275
2008-11-14,214,259
2008-11-15,212,224
2008-11-16,213,214
2008-11-17,218,253
2008-11-18,223,255
2008-11-19,225,270
2008-11-20,217,266
2008-11-21,234,266
2008-11-22,243,248
2008-11-23,246,246
2008-11-24,234,294
2008-11-25,231,285
2008-11-26,233,302
2008-11-27,233,233
2008-11-28,215,260
2008-11-29,218,219
2008-11-30,220,220
2008-12-01,225,254
2008-12-02,200,254
2008-12-03,220,251
2008-12-04,204,255
2008-12-05,205,242
2008-12-06,211,211
2008-12-07,211,211
2008-12-08,189,244
2008-12-09,200,228
2008-12-10,208,249
2008-12-11,180,236
2008-12-12,189,233
2008-12-13,189,196
2008-12-14,192,192
2008-12-15,183,229
2008-12-16,208,244
2008-12-17,210,269
2008-12-18,193,243
2008-12-19,197,234
2008-12-20,193,198
2008-12-21,194,195
2008-12-22,189,230
2008-12-23,178,218
2008-12-24,207,212
2008-12-25,207,207
2008-12-26,204,211
2008-12-27,200,204
2008-12-28,200,201
2008-12-29,189,242
2008-12-30,164,215
2008-12-31,198,210
2009-01-01,199,200
2009-01-02,192,231
2009-01-03,196,198
2009-01-04,200,200
2009-01-05,204,227
2009-01-06,208,243
2009-01-07,215,241
2009-01-08,199,244
2009-01-09,209,235
2009-01-10,204,209
2009-01-11,238,238
2009-01-12,258,298
2009-01-13,207,294
2009-01-14,219,254
2009-01-15,220,252
2009-01-16,235,269
2009-01-17,241,251
2009-01-18,241,241
2009-01-19,241,241
2009-01-20,244,287
2009-01-21,237,281
2009-01-22,231,294
2009-01-23,219,271
2009-01-24,211,220
2009-01-25,234,235
2009-01-26,245,280
2009-01-27,239,291
2009-01-28,255,271
2009-01-29,236,293
2009-01-30,239,280
2009-01-31,237,240
2009-02-01,237,237
2009-02-02,241,280
2009-02-03,244,266
2009-02-04,245,290
2009-02-05,223,273
2009-02-06,211,254
2009-02-07,214,214
2009-02-08,215,215
2009-02-09,230,260
2009-02-10,210,270
2009-02-11,236,256
2009-02-12,243,285
2009-02-13,243,287
2009-02-14,239,247
2009-02-15,239,239
2009-02-16,239,240
2009-02-17,246,281
2009-02-18,240,284
2009-02-19,223,262
2009-02-20,236,275
2009-02-21,236,237
2009-02-22,238,238
2009-02-23,239,273
2009-02-24,247,275
2009-02-25,235,272
2009-02-26,230,272
2009-02-27,229,270
2009-02-28,231,234
2009-03-01,233,234
2009-03-02,237,276
2009-03-03,234,273
2009-03-04,253,287
2009-03-05,245,284
2009-03-06,264,284
2009-03-07,225,272
2009-03-08,222,225
2009-03-09,230,254
2009-03-10,234,280
2009-03-11,241,275
2009-03-12,242,282
2009-03-13,250,281
2009-03-14,244,261
2009-03-15,247,247
2009-03-16,252,298
2009-03-17,241,279
2009-03-18,238,290
2009-03-19,247,275
2009-03-20,223,300
2009-03-21,205,225
2009-03-22,220,220
2009-03-23,219,259
2009-03-24,218,261
2009-03-25,215,275
2009-03-26,237,259
2009-03-27,260,290
2009-03-28,235,274
2009-03-29,235,235
2009-03-30,255,283
2009-03-31,240,293
2009-04-01,237,294
2009-04-02,237,271
2009-04-03,248,293
2009-04-04,226,250
2009-04-05,230,230
2009-04-06,244,278
2009-04-07,248,277
2009-04-08,261,301
2009-04-09,254,291
2009-04-10,257,291
2009-04-11,245,262
2009-04-12,245,245
2009-04-13,254,302
2009-04-14,226,280
2009-04-15,225,270
2009-04-16,231,261
2009-04-17,234,283
2009-04-18,225,240
2009-04-19,225,225
2009-04-20,220,253
2009-04-21,215,243
2009-04-22,242,268
2009-04-23,235,281
2009-04-24,266,288
2009-04-25,248,274
2009-04-26,261,268
2009-04-27,249,306
2009-04-28,247,300
2009-04-29,236,310
2009-04-30,233,288
2009-05-01,253,273
2009-05-02,255,256
2009-05-03,247,256
2009-05-04,238,283
2009-05-05,240,297
2009-05-06,253,294
2009-05-07,228,298
2009-05-08,227,266
2009-05-09,226,234
2009-05-10,226,226
2009-05-11,229,273
2009-05-12,231,261
2009-05-13,246,285
2009-05-14,229,283
2009-05-15,222,255
2009-05-16,231,233
2009-05-17,231,231
2009-05-18,235,271
2009-05-19,238,265
2009-05-20,248,290
2009-05-21,241,291
2009-05-22,238,298
2009-05-23,245,246
2009-05-24,245,245
2009-05-25,245,245
2009-05-26,246,292
2009-05-27,249,297
2009-05-28,228,288
2009-05-29,207,268
2009-05-30,214,215
2009-05-31,214,214
2009-06-01,209,252
2009-06-02,216,248
2009-06-03,229,249
2009-06-04,221,266
2009-06-05,214,257
2009-06-06,225,228
2009-06-07,225,225
2009-06-08,236,269
2009-06-09,221,280
2009-06-10,232,257
2009-06-11,221,283
2009-06-12,228,260
2009-06-13,223,232
2009-06-14,223,223
2009-06-15,250,266
2009-06-16,263,314
2009-06-17,261,317
2009-06-18,246,299
2009-06-19,242,293
2009-06-20,233,245
2009-06-21,234,234
2009-06-22,260,274
2009-06-23,251,297
2009-06-24,261,287
2009-06-25,230,287
2009-06-26,247,286
2009-06-27,212,257
2009-06-28,213,214
2009-06-29,215,254
2009-06-30,210,267
2009-07-01,213,250
2009-07-02,220,240
2009-07-03,225,226
2009-07-04,225,226
2009-07-05,225,225
2009-07-06,248,267
2009-07-07,250,274
2009-07-08,253,299
2009-07-09,235,288
2009-07-10,234,257
2009-07-11,237,240
2009-07-12,236,237
2009-07-13,247,277
2009-07-14,264,296
2009-07-15,257,301
2009-07-16,258,275
2009-07-17,250,287
2009-07-18,246,252
2009-07-19,246,246
2009-07-20,272,287
2009-07-21,262,298
2009-07-22,254,299
2009-07-23,255,276
2009-07-24,238,299
2009-07-25,240,241
2009-07-26,232,240
2009-07-27,240,269
2009-07-28,239,275
2009-07-29,253,300
2009-07-30,230,292
2009-07-31,230,271
2009-08-01,233,240
2009-08-02,235,235
2009-08-03,247,279
2009-08-04,242,288
2009-08-05,238,274
2009-08-06,207,278
2009-08-07,194,258
2009-08-08,194,196
2009-08-09,194,195
2009-08-10,218,254
2009-08-11,215,255
