Date,Midnight population,24-hour population
2008-10-01,571,613
2008-10-02,558,607
2008-10-03,564,592
2008-10-04,564,565
2008-10-05,567,567
2008-10-06,581,589
2008-10-07,593,602
2008-10-08,577,623
2008-10-09,558,611
2008-10-10,532,578
2008-10-11,492,540
2008-10-12,492,492
2008-10-13,501,505
2008-10-14,520,527
2008-10-15,527,547
2008-10-16,553,563
2008-10-17,573,595
2008-10-18,577,577
2008-10-19,580,580
2008-10-20,592,595
2008-10-21,551,598
2008-10-22,580,591
2008-10-23,571,600
2008-10-24,565,585
2008-10-25,514,578
2008-10-26,516,516
2008-10-27,523,531
2008-10-28,537,542
2008-10-29,581,588
2008-10-30,597,626
2008-10-31,580,603
2008-11-01,593,611
2008-11-02,594,595
2008-11-03,548,619
2008-11-04,529,569
2008-11-05,541,555
2008-11-06,528,550
2008-11-07,508,541
2008-11-08,507,517
2008-11-09,507,507
2008-11-10,540,547
2008-11-11,547,547
2008-11-12,562,574
2008-11-13,560,590
2008-11-14,567,578
2008-11-15,562,592
2008-11-16,567,567
2008-11-17,571,580
2008-11-18,562,621
2008-11-19,579,588
2008-11-20,576,606
2008-11-21,568,597
2008-11-22,574,574
2008-11-23,575,575
2008-11-24,568,597
2008-11-25,581,587
2008-11-26,577,592
2008-11-27,588,588
2008-11-28,559,599
2008-11-29,560,560
2008-11-30,563,563
2008-12-01,579,583
2008-12-02,584,599
2008-12-03,564,635
2008-12-04,580,583
2008-12-05,574,611
2008-12-06,574,582
2008-12-07,577,577
2008-12-08,579,589
2008-12-09,583,591
2008-12-10,561,610
2008-12-11,578,598
2008-12-12,569,586
2008-12-13,514,572
2008-12-14,515,515
2008-12-15,529,543
2008-12-16,544,553
2008-12-17,592,600
2008-12-18,586,628
2008-12-19,584,612
2008-12-20,576,609
2008-12-21,575,576
2008-12-22,544,594
2008-12-23,549,555
2008-12-24,574,575
2008-12-25,578,578
2008-12-26,587,587
2008-12-27,588,588
2008-12-28,586,590
2008-12-29,532,596
2008-12-30,540,546
2008-12-31,580,581
2009-01-01,582,582
2009-01-02,540,610
2009-01-03,546,546
2009-01-04,562,562
2009-01-05,556,569
2009-01-06,555,577
2009-01-07,568,599
2009-01-08,555,590
2009-01-09,550,570
2009-01-10,529,553
2009-01-11,512,532
2009-01-12,548,558
2009-01-13,547,577
2009-01-14,581,592
2009-01-15,574,610
2009-01-16,588,590
2009-01-17,568,621
2009-01-18,569,569
2009-01-19,573,575
2009-01-20,587,588
2009-01-21,593,610
2009-01-22,572,618
2009-01-23,570,609
2009-01-24,576,580
2009-01-25,578,578
2009-01-26,595,621
2009-01-27,597,618
2009-01-28,595,603
2009-01-29,568,595
2009-01-30,580,610
2009-01-31,586,587
2009-02-01,588,588
2009-02-02,589,614
2009-02-03,599,614
2009-02-04,564,616
2009-02-05,562,597
2009-02-06,583,596
2009-02-07,586,586
2009-02-08,569,588
2009-02-09,593,600
2009-02-10,568,617
2009-02-11,518,587
2009-02-12,463,533
2009-02-13,450,479
2009-02-14,448,452
2009-02-15,448,448
2009-02-16,451,451
2009-02-17,457,465
2009-02-18,495,503
2009-02-19,470,522
2009-02-20,458,499
2009-02-21,478,480
2009-02-22,481,481
2009-02-23,488,499
2009-02-24,517,523
2009-02-25,562,567
2009-02-26,529,615
2009-02-27,486,538
2009-02-28,485,487
2009-03-01,495,495
2009-03-02,483,506
2009-03-03,528,536
2009-03-04,557,567
2009-03-05,519,575
2009-03-06,521,548
2009-03-07,505,529
2009-03-08,512,512
2009-03-09,530,540
2009-03-10,526,550
2009-03-11,559,575
2009-03-12,563,581
2009-03-13,560,612
2009-03-14,565,565
2009-03-15,565,565
2009-03-16,562,567
2009-03-17,537,579
2009-03-18,538,563
2009-03-19,529,574
2009-03-20,541,568
2009-03-21,551,551
2009-03-22,557,557
2009-03-23,571,585
2009-03-24,558,596
2009-03-25,561,573
2009-03-26,521,584
2009-03-27,520,581
2009-03-28,525,525
2009-03-29,527,527
2009-03-30,529,539
2009-03-31,535,549
2009-04-01,502,561
2009-04-02,539,553
2009-04-03,501,543
2009-04-04,513,524
2009-04-05,516,516
2009-04-06,508,525
2009-04-07,547,552
2009-04-08,528,574
2009-04-09,523,530
2009-04-10,549,569
2009-04-11,513,551
2009-04-12,516,516
2009-04-13,506,547
2009-04-14,521,538
2009-04-15,518,562
2009-04-16,493,540
2009-04-17,514,524
2009-04-18,502,516
2009-04-19,507,507
2009-04-20,509,519
2009-04-21,522,555
2009-04-22,533,568
2009-04-23,543,576
2009-04-24,558,570
2009-04-25,538,560
2009-04-26,540,540
2009-04-27,565,571
2009-04-28,561,575
2009-04-29,512,581
2009-04-30,493,537
2009-05-01,495,520
2009-05-02,495,496
2009-05-03,499,499
2009-05-04,510,521
2009-05-05,499,525
2009-05-06,478,536
2009-05-07,500,527
2009-05-08,506,551
2009-05-09,510,510
2009-05-10,511,511
2009-05-11,537,549
2009-05-12,514,559
2009-05-13,533,541
2009-05-14,527,580
2009-05-15,523,556
2009-05-16,529,529
2009-05-17,536,536
2009-05-18,549,566
2009-05-19,546,572
2009-05-20,556,589
2009-05-21,526,578
2009-05-22,545,563
2009-05-23,552,552
2009-05-24,552,552
2009-05-25,554,555
2009-05-26,566,581
2009-05-27,559,588
2009-05-28,527,597
2009-05-29,550,566
2009-05-30,534,554
2009-05-31,537,537
2009-06-01,562,568
2009-06-02,592,603
2009-06-03,570,612
2009-06-04,566,610
2009-06-05,550,604
2009-06-06,551,551
2009-06-07,554,554
2009-06-08,540,570
2009-06-09,570,580
2009-06-10,590,592
2009-06-11,531,609
2009-06-12,504,539
2009-06-13,508,508
2009-06-14,511,511
2009-06-15,517,523
2009-06-16,514,528
2009-06-17,496,536
2009-06-18,479,516
2009-06-19,507,510
2009-06-20,514,514
2009-06-21,515,515
2009-06-22,542,552
2009-06-23,524,562
2009-06-24,536,546
2009-06-25,545,568
2009-06-26,505,573
2009-06-27,507,507
2009-06-28,522,522
2009-06-29,528,540
2009-06-30,524,555
2009-07-01,525,550
2009-07-02,500,558
2009-07-03,498,518
2009-07-04,499,499
2009-07-05,500,500
2009-07-06,507,518
2009-07-07,500,524
2009-07-08,509,532
2009-07-09,521,532
2009-07-10,531,547
2009-07-11,563,563
2009-07-12,564,564
2009-07-13,626,639
2009-07-14,659,668
2009-07-15,644,688
2009-07-16,613,666
2009-07-17,627,657
2009-07-18,585,629
2009-07-19,588,588
2009-07-20,595,607
2009-07-21,583,624
2009-07-22,613,629
2009-07-23,597,630
2009-07-24,601,634
2009-07-25,585,613
2009-07-26,586,586
2009-07-27,623,626
2009-07-28,619,667
2009-07-29,639,646
2009-07-30,640,658
2009-07-31,613,672
2009-08-01,554,616
2009-08-02,556,556
2009-08-03,574,586
2009-08-04,570,589
2009-08-05,560,590
2009-08-06,539,593
2009-08-07,531,579
2009-08-08,536,536
2009-08-09,541,541
2009-08-10,551,560
2009-08-11,579,595
2009-08-12,560,610
2009-08-13,561,585
2009-08-14,562,590
2009-08-15,536,566
2009-08-16,542,542
2009-08-17,538,552
2009-08-18,514,541
2009-08-19,522,547
2009-08-20,571,580
2009-08-21,540,616
2009-08-22,543,543
2009-08-23,543,544
2009-08-24,556,569
2009-08-25,565,603
2009-08-26,576,589
2009-08-27,554,605
2009-08-28,547,583
2009-08-29,550,550
2009-08-30,550,551
2009-08-31,564,574
2009-09-01,550,588
2009-09-02,555,579
2009-09-03,551,593
2009-09-04,541,573
2009-09-05,544,544
2009-09-06,567,567
2009-09-07,575,575
2009-09-08,601,615
2009-09-09,570,627
2009-09-10,589,620
2009-09-11,586,619
2009-09-12,593,593
2009-09-13,598,598
2009-09-14,634,643
2009-09-15,640,675
2009-09-16,653,674
2009-09-17,617,686
2009-09-18,616,664
2009-09-19,631,631
2009-09-20,628,636
2009-09-21,631,649
2009-09-22,574,651
2009-09-23,605,611
2009-09-24,599,627
2009-09-25,576,626
2009-09-26,585,586
2009-09-27,589,589
2009-09-28,602,615
2009-09-29,577,624
2009-09-30,608,620
2009-10-01,591,629
2009-10-02,583,625
2009-10-03,591,591
2009-10-04,595,597
2009-10-05,596,620
2009-10-06,580,621
2009-10-07,595,621
2009-10-08,557,619
2009-10-09,559,598
2009-10-10,559,559
2009-10-11,563,563
2009-10-12,569,571
2009-10-13,587,599
2009-10-14,580,626
2009-10-15,576,610
