Date,Midnight population,24-hour population
2008-10-01,65,69
2008-10-02,68,71
2008-10-03,68,70
2008-10-04,68,68
2008-10-05,68,68
2008-10-06,64,69
2008-10-07,63,65
2008-10-08,64,64
2008-10-09,62,65
2008-10-10,62,63
2008-10-11,62,62
2008-10-12,62,62
2008-10-13,62,62
2008-10-14,62,62
2008-10-15,64,65
2008-10-16,64,64
2008-10-17,59,64
2008-10-18,59,59
2008-10-19,59,59
2008-10-20,61,65
2008-10-21,61,61
2008-10-22,67,68
2008-10-23,61,75
2008-10-24,61,62
2008-10-25,61,61
2008-10-26,61,61
2008-10-27,62,65
2008-10-28,61,62
2008-10-29,67,68
2008-10-30,67,67
2008-10-31,69,69
2008-11-01,69,69
2008-11-02,69,69
2008-11-03,65,70
2008-11-04,65,66
2008-11-05,66,66
2008-11-06,67,70
2008-11-07,70,70
2008-11-08,70,70
2008-11-09,70,70
2008-11-10,60,71
2008-11-11,60,60
2008-11-12,62,63
2008-11-13,62,64
2008-11-14,63,63
2008-11-15,63,63
2008-11-16,63,63
2008-11-17,59,63
2008-11-18,62,62
2008-11-19,63,63
2008-11-20,65,66
2008-11-21,67,68
2008-11-22,67,67
2008-11-23,67,67
2008-11-24,63,71
2008-11-25,60,63
2008-11-26,63,64
2008-11-27,63,63
2008-11-28,65,66
2008-11-29,65,65
2008-11-30,65,65
2008-12-01,62,67
2008-12-02,62,62
2008-12-03,61,62
2008-12-04,65,65
2008-12-05,70,72
2008-12-06,70,70
2008-12-07,70,70
2008-12-08,65,73
2008-12-09,65,66
2008-12-10,69,69
2008-12-11,70,70
2008-12-12,75,75
2008-12-13,75,75
2008-12-14,75,75
2008-12-15,71,77
2008-12-16,74,75
2008-12-17,72,74
2008-12-18,72,72
2008-12-19,73,73
2008-12-20,73,73
2008-12-21,73,73
2008-12-22,64,76
2008-12-23,59,66
2008-12-24,58,59
2008-12-25,58,58
2008-12-26,58,58
2008-12-27,58,58
2008-12-28,58,58
2008-12-29,56,58
2008-12-30,61,61
2008-12-31,67,67
2009-01-01,67,67
2009-01-02,68,69
2009-01-03,68,68
2009-01-04,68,68
2009-01-05,61,68
2009-01-06,66,66
2009-01-07,69,69
2009-01-08,65,69
2009-01-09,60,67
2009-01-10,60,60
2009-01-11,60,60
2009-01-12,66,66
2009-01-13,67,68
2009-01-14,67,69
2009-01-15,72,72
2009-01-16,62,74
2009-01-17,62,62
2009-01-18,62,62
2009-01-19,62,62
2009-01-20,62,62
2009-01-21,65,66
2009-01-22,67,67
2009-01-23,61,70
2009-01-24,61,61
2009-01-25,61,61
2009-01-26,66,67
2009-01-27,63,66
2009-01-28,68,69
2009-01-29,69,70
2009-01-30,66,72
2009-01-31,66,66
2009-02-01,66,66
2009-02-02,65,66
2009-02-03,66,68
2009-02-04,68,70
2009-02-05,67,68
2009-02-06,63,67
2009-02-07,63,63
2009-02-08,63,63
2009-02-09,65,66
2009-02-10,68,69
2009-02-11,74,74
2009-02-12,71,74
2009-02-13,68,72
2009-02-14,68,68
2009-02-15,68,68
2009-02-16,68,68
2009-02-17,72,73
2009-02-18,72,73
2009-02-19,71,72
2009-02-20,69,79
2009-02-21,69,69
2009-02-22,69,69
2009-02-23,69,69
2009-02-24,68,69
2009-02-25,68,69
2009-02-26,68,69
2009-02-27,67,68
2009-02-28,67,67
2009-03-01,67,67
2009-03-02,67,67
2009-03-03,67,67
2009-03-04,67,67
2009-03-05,66,67
2009-03-06,57,67
2009-03-07,57,57
2009-03-08,57,57
2009-03-09,58,60
2009-03-10,60,60
2009-03-11,59,60
2009-03-12,58,59
2009-03-13,58,63
2009-03-14,58,58
2009-03-15,58,58
2009-03-16,59,59
2009-03-17,57,60
2009-03-18,58,58
2009-03-19,62,64
2009-03-20,61,63
2009-03-21,61,61
2009-03-22,61,61
2009-03-23,61,63
2009-03-24,58,63
2009-03-25,61,62
2009-03-26,63,65
2009-03-27,61,67
2009-03-28,61,61
2009-03-29,61,61
2009-03-30,60,61
2009-03-31,67,67
2009-04-01,69,72
2009-04-02,68,69
2009-04-03,65,70
