Date,Midnight population,24-hour population,N
2008-10-01,,,197
2008-10-02,,,187
2008-10-03,,,178
2008-10-04,,,168
2008-10-05,,,169
2008-10-06,,,182
2008-10-07,,,187
2008-10-08,,,181
2008-10-09,,,190
2008-10-10,,,186
2008-10-11,,,184
2008-10-12,,,184
2008-10-13,,,186
2008-10-14,,,197
2008-10-15,,,190
2008-10-16,,,171
2008-10-17,,,188
2008-10-18,,,182
2008-10-19,,,182
2008-10-20,,,186
2008-10-21,,,185
2008-10-22,,,181
2008-10-23,,,183
2008-10-24,,,194
2008-10-25,,,184
2008-10-26,,,191
2008-10-27,,,202
2008-10-28,,,201
2008-10-29,,,204
2008-10-30,178.0,186.0,181
2008-10-31,178.0,185.0,176
2008-11-01,178.0,185.0,171
2008-11-02,178.0,184.0,169
2008-11-03,178.0,185.0,180
2008-11-04,178.0,185.0,182
2008-11-05,178.0,186.0,187
2008-11-06,177.0,185.0,174
2008-11-07,176.0,184.0,158
2008-11-08,175.0,183.0,152
2008-11-09,174.0,182.0,152
2008-11-10,173.0,181.0,160
2008-11-11,172.0,180.0,152
2008-11-12,171.0,179.0,161
2008-11-13,170.0,178.0,163
2008-11-14,170.0,177.0,162
2008-11-15,170.0,177.0,156
2008-11-16,169.0,176.0,156
2008-11-17,168.0,175.0,173
2008-11-18,168.0,175.0,179
2008-11-19,168.0,175.0,185
2008-11-20,168.0,175.0,183
2008-11-21,168.0,175.0,185
2008-11-22,168.0,175.0,173
2008-11-23,167.0,174.0,173
2008-11-24,167.0,174.0,181
2008-11-25,167.0,174.0,188
2008-11-26,166.0,173.0,175
2008-11-27,166.0,172.0,172
2008-11-28,166.0,171.0,172
2008-11-29,166.0,171.0,172
2008-11-30,166.0,171.0,172
2008-12-01,166.0,171.0,172
2008-12-02,166.0,171.0,171
2008-12-03,166.0,170.0,170
2008-12-04,165.0,170.0,164
2008-12-05,164.0,169.0,154
2008-12-06,164.0,168.0,151
2008-12-07,164.0,168.0,151
2008-12-08,159.0,168.0,151
2008-12-09,154.0,163.0,3
2008-12-10,149.0,157.0,2
2008-12-11,144.0,152.0,0
2008-12-12,139.0,147.0,0
2008-12-13,134.0,142.0,0
2008-12-14,128.0,136.0,0
2008-12-15,123.0,131.0,0
2008-12-16,118.0,126.0,0
2008-12-17,113.0,120.0,0
2008-12-18,107.0,114.0,0
2008-12-19,101.0,108.0,0
2008-12-20,95.0,102.0,0
2008-12-21,89.0,96.0,0
2008-12-22,84.0,90.0,0
2008-12-23,78.0,84.0,0
2008-12-24,72.0,78.0,0
2008-12-25,66.0,72.0,0
2008-12-26,60.0,66.0,0
2008-12-27,54.0,60.0,0
2008-12-28,49.0,54.0,0
2008-12-29,43.0,49.0,0
2008-12-30,37.0,43.0,0
2008-12-31,32.0,37.0,0
2009-01-01,26.0,32.0,0
2009-01-02,20.0,26.0,0
2009-01-03,15.0,20.0,0
2009-01-04,10.0,15.0,0
2009-01-05,5.0,10.0,0
2009-01-06,0.0,5.0,0
2009-01-07,0.0,0.0,0
2009-01-08,0.0,0.0,0
2009-01-09,0.0,0.0,0
2009-01-10,0.0,0.0,0
2009-01-11,0.0,0.0,0
2009-01-12,0.0,0.0,0
2009-01-13,0.0,0.0,0
2009-01-14,0.0,0.0,0
2009-01-15,0.0,0.0,0
2009-01-16,0.0,0.0,0
2009-01-17,0.0,0.0,0
2009-01-18,0.0,0.0,0
2009-01-19,0.0,0.0,0
2009-01-20,0.0,0.0,0
2009-01-21,0.0,0.0,0
2009-01-22,0.0,0.0,0
2009-01-23,0.0,0.0,0
2009-01-24,0.0,0.0,0
2009-01-25,0.0,0.0,0
2009-01-26,0.0,0.0,0
2009-01-27,0.0,0.0,0
2009-01-28,0.0,0.0,1
2009-01-29,0.0,0.0,0
2009-01-30,0.0,0.0,0
2009-01-31,0.0,0.0,0
2009-02-01,0.0,0.0,0
2009-02-02,0.0,0.0,0
2009-02-03,0.0,0.0,0
2009-02-04,0.0,0.0,0
2009-02-05,0.0,0.0,0
2009-02-06,0.0,0.0,0
2009-02-07,0.0,0.0,0
2009-02-08,0.0,0.0,0
2009-02-09,0.0,0.0,0
2009-02-10,0.0,0.0,0
2009-02-11,0.0,0.0,0
2009-02-12,0.0,0.0,0
2009-02-13,0.0,0.0,0
2009-02-14,0.0,0.0,0
2009-02-15,0.0,0.0,0
2009-02-16,0.0,0.0,0
2009-02-17,0.0,0.0,0
2009-02-18,0.0,0.0,0
2009-02-19,0.0,0.0,0
2009-02-20,0.0,0.0,0
2009-02-21,0.0,0.0,0
2009-02-22,0.0,0.0,0
2009-02-23,0.0,0.0,0
2009-02-24,0.0,0.0,0
2009-02-25,0.0,0.0,0
2009-02-26,0.0,0.0,0
2009-02-27,0.0,0.0,0
2009-02-28,0.0,0.0,0
2009-03-01,0.0,0.0,0
2009-03-02,0.0,0.0,0
2009-03-03,0.0,0.0,0
2009-03-04,0.0,0.0,0
2009-03-05,0.0,0.0,0
2009-03-06,0.0,0.0,0
2009-03-07,0.0,0.0,0
2009-03-08,0.0,0.0,0
2009-03-09,0.0,0.0,0
2009-03-10,0.0,0.0,0
2009-03-11,0.0,0.0,0
2009-03-12,0.0,0.0,0
2009-03-13,0.0,0.0,0
2009-03-14,0.0,0.0,0
