Date,Midnight population,24-hour population
2008-10-01,624,731
2008-10-02,640,662
2008-10-03,624,657
2008-10-04,624,624
2008-10-05,625,625
2008-10-06,668,711
2008-10-07,613,715
2008-10-08,622,675
2008-10-09,643,682
2008-10-10,647,711
2008-10-11,647,647
2008-10-12,649,649
2008-10-13,652,653
2008-10-14,677,708
2008-10-15,636,746
2008-10-16,684,739
2008-10-17,654,752
2008-10-18,657,657
2008-10-19,657,657
2008-10-20,685,722
2008-10-21,644,753
2008-10-22,677,753
2008-10-23,692,765
2008-10-24,707,779
2008-10-25,614,719
2008-10-26,610,614
2008-10-27,586,674
2008-10-28,601,653
2008-10-29,630,712
2008-10-30,616,721
2008-10-31,611,651
2008-11-01,611,611
2008-11-02,611,611
2008-11-03,649,687
2008-11-04,592,714
2008-11-05,594,726
2008-11-06,640,676
2008-11-07,618,673
2008-11-08,618,618
2008-11-09,618,618
2008-11-10,676,727
2008-11-11,686,687
2008-11-12,635,757
2008-11-13,652,720
2008-11-14,672,734
2008-11-15,554,674
2008-11-16,553,555
2008-11-17,581,625
2008-11-18,658,662
2008-11-19,656,738
2008-11-20,646,733
2008-11-21,651,732
2008-11-22,651,651
2008-11-23,651,651
2008-11-24,664,721
2008-11-25,619,740
2008-11-26,565,671
2008-11-27,565,565
2008-11-28,639,642
2008-11-29,642,642
2008-11-30,641,642
2008-12-01,623,674
2008-12-02,590,691
2008-12-03,563,645
2008-12-04,579,644
2008-12-05,532,621
2008-12-06,530,533
2008-12-07,530,530
2008-12-08,553,579
2008-12-09,573,660
2008-12-10,658,666
2008-12-11,625,719
2008-12-12,627,673
2008-12-13,670,670
2008-12-14,668,670
2008-12-15,659,743
2008-12-16,638,778
2008-12-17,687,692
2008-12-18,763,845
2008-12-19,699,825
2008-12-20,581,699
2008-12-21,581,581
2008-12-22,600,627
2008-12-23,587,687
2008-12-24,598,606
2008-12-25,598,598
2008-12-26,598,598
2008-12-27,604,604
2008-12-28,604,604
2008-12-29,628,666
2008-12-30,604,714
2008-12-31,690,697
2009-01-01,690,690
2009-01-02,625,717
2009-01-03,625,626
2009-01-04,625,625
2009-01-05,524,658
2009-01-06,519,627
2009-01-07,582,585
2009-01-08,583,632
2009-01-09,595,637
2009-01-10,596,596
2009-01-11,596,596
2009-01-12,629,668
2009-01-13,630,727
2009-01-14,596,712
2009-01-15,632,713
2009-01-16,694,775
2009-01-17,586,694
2009-01-18,586,586
2009-01-19,586,586
2009-01-20,572,635
2009-01-21,536,650
2009-01-22,603,636
2009-01-23,661,792
2009-01-24,660,661
2009-01-25,660,660
2009-01-26,644,715
2009-01-27,637,739
2009-01-28,652,657
2009-01-29,653,780
2009-01-30,705,786
2009-01-31,731,733
2009-02-01,732,732
2009-02-02,716,780
2009-02-03,719,841
2009-02-04,685,805
2009-02-05,685,777
2009-02-06,682,816
2009-02-07,681,682
2009-02-08,682,682
2009-02-09,687,722
2009-02-10,732,810
2009-02-11,780,787
2009-02-12,765,841
2009-02-13,772,894
2009-02-14,772,772
2009-02-15,772,772
2009-02-16,772,772
2009-02-17,756,821
2009-02-18,746,829
2009-02-19,755,838
2009-02-20,723,837
2009-02-21,723,723
2009-02-22,723,723
2009-02-23,726,780
2009-02-24,729,841
2009-02-25,739,819
2009-02-26,757,815
2009-02-27,735,822
2009-02-28,663,737
2009-03-01,661,664
2009-03-02,687,718
2009-03-03,708,779
2009-03-04,737,802
2009-03-05,726,797
2009-03-06,724,796
2009-03-07,722,725
2009-03-08,722,722
2009-03-09,710,758
