Date,Midnight population,24-hour population
2008-10-01,193,203
2008-10-02,199,206
2008-10-03,200,205
2008-10-04,200,200
2008-10-05,200,200
2008-10-06,197,210
2008-10-07,194,202
2008-10-08,192,199
2008-10-09,186,194
2008-10-10,182,193
2008-10-11,182,182
2008-10-12,182,182
2008-10-13,182,182
2008-10-14,176,187
2008-10-15,174,180
2008-10-16,174,179
2008-10-17,181,192
2008-10-18,181,181
2008-10-19,181,181
2008-10-20,177,190
2008-10-21,174,181
2008-10-22,181,190
2008-10-23,182,186
2008-10-24,181,189
2008-10-25,181,181
2008-10-26,181,181
2008-10-27,189,194
2008-10-28,197,203
2008-10-29,195,203
2008-10-30,203,212
2008-10-31,194,212
2008-11-01,194,194
2008-11-02,194,194
2008-11-03,200,205
2008-11-04,198,205
2008-11-05,201,207
2008-11-06,203,219
2008-11-07,209,221
2008-11-08,209,209
2008-11-09,209,209
2008-11-10,210,218
2008-11-11,210,210
2008-11-12,212,218
2008-11-13,204,228
2008-11-14,183,209
2008-11-15,183,183
2008-11-16,183,183
2008-11-17,187,190
2008-11-18,191,198
2008-11-19,199,211
2008-11-20,183,203
2008-11-21,179,190
2008-11-22,179,179
2008-11-23,179,179
2008-11-24,179,185
2008-11-25,182,187
2008-11-26,178,192
2008-11-27,178,178
2008-11-28,169,178
2008-11-29,169,169
2008-11-30,169,169
2008-12-01,173,179
2008-12-02,179,184
2008-12-03,181,188
2008-12-04,187,196
2008-12-05,187,198
2008-12-06,187,187
2008-12-07,187,187
2008-12-08,187,197
2008-12-09,194,198
2008-12-10,190,201
2008-12-11,190,204
2008-12-12,173,190
2008-12-13,173,173
2008-12-14,173,173
2008-12-15,191,198
2008-12-16,178,198
2008-12-17,217,221
2008-12-18,218,228
2008-12-19,218,228
2008-12-20,218,218
2008-12-21,218,218
2008-12-22,235,241
2008-12-23,222,242
2008-12-24,217,223
2008-12-25,217,217
2008-12-26,217,217
2008-12-27,217,217
2008-12-28,217,217
2008-12-29,231,240
2008-12-30,221,241
2008-12-31,219,227
2009-01-01,218,219
2009-01-02,213,225
2009-01-03,213,213
2009-01-04,213,213
2009-01-05,210,215
2009-01-06,209,212
2009-01-07,214,234
2009-01-08,183,227
2009-01-09,176,195
2009-01-10,167,177
2009-01-11,167,167
2009-01-12,163,172
2009-01-13,156,171
2009-01-14,149,159
2009-01-15,154,160
2009-01-16,160,172
2009-01-17,160,160
2009-01-18,160,160
2009-01-19,160,160
2009-01-20,166,171
2009-01-21,163,180
2009-01-22,163,173
2009-01-23,167,177
2009-01-24,167,167
2009-01-25,167,167
2009-01-26,171,180
2009-01-27,199,203
2009-01-28,220,234
2009-01-29,180,237
2009-01-30,175,187
2009-01-31,175,175
2009-02-01,175,175
2009-02-02,184,190
2009-02-03,211,226
2009-02-04,190,219
2009-02-05,182,196
2009-02-06,164,189
2009-02-07,164,164
2009-02-08,164,164
2009-02-09,169,173
2009-02-10,171,180
2009-02-11,170,179
2009-02-12,169,175
2009-02-13,169,173
2009-02-14,169,169
2009-02-15,170,170
2009-02-16,170,170
2009-02-17,169,179
2009-02-18,175,180
2009-02-19,170,184
2009-02-20,171,182
2009-02-21,171,171
2009-02-22,171,171
2009-02-23,188,193
2009-02-24,203,213
2009-02-25,209,218
2009-02-26,205,219
2009-02-27,198,205
2009-02-28,198,198
2009-03-01,198,198
2009-03-02,178,226
2009-03-03,173,193
2009-03-04,173,186
2009-03-05,168,180
2009-03-06,183,187
2009-03-07,183,183
2009-03-08,183,183
2009-03-09,186,193
2009-03-10,189,203
2009-03-11,189,197
2009-03-12,185,199
2009-03-13,183,190
2009-03-14,183,183
2009-03-15,183,183
2009-03-16,191,197
2009-03-17,196,210
2009-03-18,185,204
2009-03-19,184,192
2009-03-20,218,221
2009-03-21,218,218
2009-03-22,218,218
2009-03-23,216,241
2009-03-24,215,228
2009-03-25,217,222
2009-03-26,199,221
2009-03-27,188,204
2009-03-28,188,188
2009-03-29,188,188
2009-03-30,215,218
2009-03-31,207,221
2009-04-01,225,235
2009-04-02,221,239
2009-04-03,216,229
