code,latitude,longitude,N,size
AAORDMD,39.2,-76.594,0,2.0
ABQHOLD,35.053,-106.629,0,2.0
ABRXSPA,40.192,-75.916,0,2.0
ABTHOLD,32.562,-99.635,0,2.0
ADACOID,43.607,-116.27,0,2.0
ADAMSMS,31.569,-91.23,778,9.0
ADAMSWA,47.127,-118.383,0,2.0
ADDCOVT,44.012,-73.164,0,2.0
ADLNTCA,34.558,-117.442,12,3.5
AFRC,32.857,-104.415,0,2.0
AGAHOLD,13.477,144.748,0,2.0
AGC,18.494,-67.142,0,2.0
AGMDCCA,33.821,-117.91,0,2.0
AIRHOPR,18.44,-66.005,0,2.0
AKCOOKI,61.219,-149.871,0,2.0
AKFAIRB,64.835,-147.761,0,2.0
AKHIGHL,61.304,-149.58,0,2.0
AKLEMON,58.361,-134.488,0,2.0
ALAMCNC,36.069,-79.402,27,3.5
ALAMOTX,26.182,-98.119,0,2.0
ALBCONY,42.751,-73.815,0,2.0
ALESSAZ,33.576,-111.927,0,2.0
ALEXAVA,38.799,-77.067,0,2.0
ALHAMCA,34.092,-118.127,0,2.0
ALLEGNY,42.212,-78.017,0,2.0
ALLEGPA,40.435,-79.994,0,2.0
ALLENIN,41.083,-85.14,0,2.0
ALMHOLD,37.488,-105.86,0,2.0
AMTHOLD,35.223,-101.749,1,2.0
ANCHOAK,61.218,-149.858,0,2.0
APACHAZ,34.502,-109.364,0,2.0
APIBHCA,32.774,-117.044,0,2.0
APPSCLA,30.62,-92.757,107,6.0
ARLCOVA,38.891,-77.083,0,2.0
ARRMCCA,34.076,-117.353,0,2.0
ASHRSFL,26.123,-80.137,0,2.0
ATLANGA,33.747,-84.395,0,2.0
ATLHOLD,33.753,-84.393,6,2.0
ATTHOLD,32.204,-95.854,0,2.0
AURORCO,39.71,-104.79,0,2.0
AUSHOLD,30.27,-97.739,6,2.0
AZSVCPC,33.453,-112.026,0,2.0
BAILECA,32.59,-116.921,0,2.0
BAKERFL,30.296,-82.122,227,6.0
BALDWAL,30.885,-87.775,2,2.0
BALHOLD,39.255,-76.681,2,2.0
BANNOID,42.839,-112.41,0,2.0
BASILLA,30.487,-92.583,481,6.0
BAYAMPR,18.368,-66.154,0,2.0
BCORCPA,40.379,-76.016,0,2.0
BEAVRPA,40.629,-80.239,0,2.0
BEDCITX,32.841,-97.133,0,2.0
BEDFOOH,41.409,-81.497,0,2.0
BEFAMPA,40.38,-76.02,0,2.0
BEHOSNY,40.74,-73.976,0,2.0
BELCOTX,31.056,-97.464,0,2.0
BENTOWA,46.221,-119.221,0,2.0
BERGENJ,40.874,-74.039,0,2.0
BERKSPA,40.383,-76.017,0,2.0
BESECPA,40.383,-76.017,0,2.0
BHCALCA,34.077,-118.073,0,2.0
BHMHOLD,33.48,-86.791,0,2.0
BIGHOMT,45.733,-107.609,0,2.0
BKLHOLD,35.374,-119.011,2,2.0
BLBNATX,32.778,-99.91,534,9.0
BLHHOLD,48.822,-122.561,0,2.0
BLOUNTN,35.75,-83.991,0,2.0
BMCSATX,29.433,-98.492,0,2.0
BOEHOLD,31.792,-106.403,0,2.0
BOIHOLD,43.593,-116.286,0,2.0
BONNEID,43.495,-112.041,0,2.0
BOONEKY,39.037,-84.724,115,6.0
BOPALM,41.128,-76.922,0,2.0
BOPBUT,36.187,-78.741,0,2.0
BOPCAA,41.565,-75.42,0,2.0
BOPCNV,36.226,-86.627,0,2.0
BOPCUM,39.597,-78.754,0,2.0
BOPDAL,33.201,-101.372,0,2.0
BOPFAI,39.39,-75.157,0,2.0
BOPGUA,18.423,-66.112,4,2.0
BOPHON,21.333,-157.929,15,3.5
BOPLOF,34.677,-120.5,2,2.0
BOPLOM,34.679,-120.505,0,2.0
BOPLTL,31.868,-106.37,0,2.0
BOPMAR,37.663,-88.984,0,2.0
BOPMCR,36.688,-84.388,0,2.0
BOPMEM,35.156,-89.867,0,2.0
BOPMVC,40.92,-78.241,0,2.0
BOPNEO,41.129,-80.627,0,2.0
BOPOAD,30.821,-92.641,0,2.0
BOPPHX,33.832,-112.168,0,2.0
BOPRCH,44.023,-92.44,0,2.0
BOPSDC,32.714,-117.166,0,2.0
BOPSET,47.422,-122.302,0,2.0
BOPSHE,45.084,-123.382,0,2.0
BOPSPG,37.178,-93.323,0,2.0
BOPTCP,32.08,-110.858,0,2.0
BOPTHA,39.416,-87.451,0,2.0
BOPVIM,34.572,-117.38,0,2.0
BOSHOLD,42.483,-71.209,2,2.0
BOSSRLA,32.843,-93.757,0,2.0
BOTTIND,48.828,-100.45,0,2.0
BPC,42.366,-71.052,0,2.0
BRADEFL,27.495,-82.573,0,2.0
BRCHOLD,40.272,-103.625,0,2.0
BREMEIA,42.727,-92.466,0,2.0
BRGMCFL,26.103,-80.141,0,2.0
BRINDMA,41.665,-70.996,0,2.0
BRKHOLD,40.383,-76.014,0,2.0
BROADMT,46.321,-111.516,0,2.0
BROJAFL,26.115,-80.143,0,2.0
BROKSTX,27.248,-98.126,0,2.0
BROMMNY,42.131,-75.913,0,2.0
BROWNWI,44.522,-87.931,0,2.0
BRWNSTX,25.908,-97.498,0,2.0
BSAHOLD,41.869,-87.866,6,2.0
BSCDRTX,32.221,-101.507,0,2.0
BSCHOLD,32.225,-101.515,1,2.0
BSCORTX,32.223,-101.506,0,2.0
BSGDFTX,33.201,-101.372,0,2.0
BTV,43.02,-78.203,449,6.0
BURLEND,46.794,-100.694,0,2.0
BURNETX,30.742,-98.253,0,2.0
BUTLEKS,37.814,-96.83,0,2.0
BUTLEOH,39.39,-84.553,0,2.0
BWDGICA,34.063,-118.239,0,2.0
BWEPATX,31.78,-106.393,0,2.0
BWMARCA,32.659,-117.11,0,2.0
BWRGMTX,26.187,-98.219,0,2.0
BXCHSNY,40.843,-73.911,0,2.0
CACFMES,35.393,-119.027,53,3.5
CACHEUT,41.735,-111.836,0,2.0
CACTYCA,35.156,-117.862,0,2.0
CADCCAL,33.166,-115.485,0,2.0
