Date,Midnight population,24-hour population,Book-ins,Book-outs,N,N2,BI,BO
2008-10-01,-1.0,-1.0,-1.0,-1.0,33876,32589,1306,1287
2008-10-02,-1.0,-1.0,-1.0,-1.0,33961,32475,1372,1486
2008-10-03,-1.0,-1.0,-1.0,-1.0,33762,32036,1287,1726
2008-10-04,-1.0,-1.0,-1.0,-1.0,32440,32024,404,416
2008-10-05,-1.0,-1.0,-1.0,-1.0,32299,32241,275,58
2008-10-06,-1.0,-1.0,-1.0,-1.0,33683,32546,1442,1137
2008-10-07,-1.0,-1.0,-1.0,-1.0,33927,32519,1381,1408
2008-10-08,-1.0,-1.0,-1.0,-1.0,34193,32656,1674,1537
2008-10-09,-1.0,-1.0,-1.0,-1.0,33913,32189,1257,1724
2008-10-10,-1.0,-1.0,-1.0,-1.0,33731,32072,1542,1659
2008-10-11,-1.0,-1.0,-1.0,-1.0,32428,31956,356,472
2008-10-12,-1.0,-1.0,-1.0,-1.0,32233,32159,277,74
2008-10-13,-1.0,-1.0,-1.0,-1.0,32641,32527,482,114
2008-10-14,-1.0,-1.0,-1.0,-1.0,34131,32678,1604,1453
2008-10-15,-1.0,-1.0,-1.0,-1.0,34114,32587,1436,1527
2008-10-16,-1.0,-1.0,-1.0,-1.0,33992,32419,1405,1573
2008-10-17,-1.0,-1.0,-1.0,-1.0,33830,32421,1411,1409
2008-10-18,-1.0,-1.0,-1.0,-1.0,32802,32465,381,337
2008-10-19,-1.0,-1.0,-1.0,-1.0,32812,32744,347,68
2008-10-20,-1.0,-1.0,-1.0,-1.0,34219,32993,1475,1226
2008-10-21,-1.0,-1.0,-1.0,-1.0,34348,33005,1355,1343
2008-10-22,-1.0,-1.0,-1.0,-1.0,34455,32954,1450,1501
2008-10-23,-1.0,-1.0,-1.0,-1.0,34239,32662,1285,1577
2008-10-24,-1.0,-1.0,-1.0,-1.0,33997,32413,1335,1584
2008-10-25,-1.0,-1.0,-1.0,-1.0,32825,32334,412,491
2008-10-26,-1.0,-1.0,-1.0,-1.0,32641,32588,307,53
2008-10-27,-1.0,-1.0,-1.0,-1.0,34083,32982,1495,1101
2008-10-28,-1.0,-1.0,-1.0,-1.0,34570,33111,1588,1459
2008-10-29,-1.0,-1.0,-1.0,-1.0,34634,33384,1523,1250
2008-10-30,32562.0,33653.0,1109.0,1090.0,34800,33143,1416,1657
2008-10-31,32568.0,33669.0,1107.0,1102.0,34372,32747,1229,1625
2008-11-01,32576.0,33640.0,1072.0,1064.0,33079,32721,332,358
2008-11-02,32607.0,33614.0,1038.0,1007.0,32975,32958,254,17
2008-11-03,32648.0,33679.0,1072.0,1031.0,34397,33262,1439,1135
2008-11-04,32681.0,33755.0,1107.0,1074.0,34587,33237,1325,1350
2008-11-05,32704.0,33782.0,1100.0,1078.0,34479,33221,1242,1258
2008-11-06,32714.0,33800.0,1096.0,1085.0,34476,32845,1255,1631
2008-11-07,32702.0,33795.0,1080.0,1092.0,34036,32298,1191,1738
2008-11-08,32709.0,33750.0,1048.0,1042.0,32588,32378,290,210
2008-11-09,32723.0,33711.0,1002.0,987.0,32538,32510,160,28
2008-11-10,32747.0,33760.0,1037.0,1014.0,33917,32652,1407,1265
2008-11-11,32770.0,33786.0,1039.0,1016.0,33002,32861,350,141
2008-11-12,32789.0,33843.0,1073.0,1055.0,34365,33083,1504,1282
2008-11-13,32791.0,33852.0,1064.0,1061.0,34394,32748,1311,1646
2008-11-14,32792.0,33854.0,1063.0,1062.0,34171,32616,1423,1555
2008-11-15,32799.0,33817.0,1025.0,1019.0,32886,32624,270,262
2008-11-16,32814.0,33786.0,988.0,972.0,32898,32876,274,22
2008-11-17,32830.0,33835.0,1021.0,1005.0,34263,32939,1387,1324
2008-11-18,32836.0,33885.0,1056.0,1049.0,34322,32933,1383,1389
2008-11-19,32831.0,33891.0,1055.0,1061.0,34405,32833,1472,1572
2008-11-20,32816.0,33887.0,1056.0,1071.0,34216,32556,1383,1660
2008-11-21,32790.0,33871.0,1055.0,1081.0,33967,32190,1411,1777
2008-11-22,32775.0,33815.0,1025.0,1040.0,32564,32207,374,357
2008-11-23,32776.0,33766.0,991.0,990.0,32526,32444,319,82
2008-11-24,32782.0,33803.0,1027.0,1021.0,33941,32512,1497,1429
2008-11-25,32779.0,33848.0,1066.0,1068.0,33986,32511,1474,1475
2008-11-26,32758.0,33840.0,1060.0,1082.0,33836,32336,1325,1500
2008-11-27,32740.0,33777.0,1019.0,1037.0,32679,32575,343,104
2008-11-28,32700.0,33735.0,995.0,1035.0,33387,32175,812,1212
2008-11-29,32669.0,33657.0,957.0,987.0,32446,32236,271,210
2008-11-30,32658.0,33592.0,923.0,934.0,32447,32416,211,31
2008-12-01,32655.0,33618.0,959.0,963.0,33833,32610,1417,1223
2008-12-02,32651.0,33654.0,999.0,1003.0,34071,32841,1461,1230
2008-12-03,32639.0,33649.0,998.0,1010.0,34252,32905,1411,1347
2008-12-04,32618.0,33636.0,998.0,1018.0,34203,32619,1298,1584
2008-12-05,32590.0,33621.0,1003.0,1031.0,34027,32385,1408,1642
2008-12-06,32577.0,33562.0,971.0,985.0,32684,32442,299,242
2008-12-07,32587.0,33516.0,939.0,929.0,32657,32601,215,56
2008-12-08,32599.0,33564.0,977.0,965.0,34044,32742,1443,1302
2008-12-09,32602.0,33617.0,1017.0,1015.0,34107,32588,1365,1519
2008-12-10,32605.0,33620.0,1018.0,1015.0,34014,32740,1426,1274
2008-12-11,32588.0,33650.0,1045.0,1062.0,33915,32370,1175,1545
2008-12-12,32560.0,33630.0,1042.0,1069.0,33757,32245,1387,1512
2008-12-13,32541.0,33568.0,1008.0,1027.0,32536,32151,291,385
2008-12-14,32531.0,33509.0,968.0,977.0,32396,32339,245,57
2008-12-15,32523.0,33537.0,1006.0,1014.0,33738,32374,1399,1364
2008-12-16,32510.0,33571.0,1048.0,1061.0,33899,32476,1525,1423
2008-12-17,32497.0,33560.0,1050.0,1063.0,33943,32556,1467,1387
2008-12-18,32484.0,33546.0,1049.0,1062.0,33912,32556,1356,1356
2008-12-19,32467.0,33527.0,1042.0,1060.0,33813,32309,1257,1504
2008-12-20,32446.0,33475.0,1008.0,1029.0,32668,31915,359,753
2008-12-21,32440.0,33412.0,966.0,972.0,32072,32023,157,49
2008-12-22,32425.0,33439.0,999.0,1014.0,33380,31756,1357,1624
2008-12-23,32409.0,33460.0,1035.0,1051.0,33156,31962,1400,1194
2008-12-24,32390.0,33432.0,1023.0,1042.0,33097,31933,1135,1164
2008-12-25,32375.0,33370.0,980.0,994.0,32122,32085,189,37
2008-12-26,32372.0,33320.0,945.0,948.0,32344,32224,259,120
2008-12-27,32364.0,33311.0,940.0,947.0,32417,32357,193,60
2008-12-28,32374.0,33283.0,918.0,908.0,32527,32470,170,57
2008-12-29,32389.0,33331.0,957.0,942.0,33905,32684,1435,1221
2008-12-30,32394.0,33378.0,989.0,984.0,33846,32558,1162,1288
2008-12-31,32390.0,33372.0,978.0,982.0,33655,32486,1097,1169
2009-01-01,32381.0,33326.0,936.0,945.0,32692,32567,206,125
2009-01-02,32372.0,33301.0,920.0,929.0,33500,32655,933,845
2009-01-03,32375.0,33256.0,883.0,880.0,32846,32706,191,140
2009-01-04,32389.0,33217.0,842.0,828.0,32870,32805,164,65
2009-01-05,32414.0,33265.0,876.0,851.0,34122,33190,1317,932
2009-01-06,32428.0,33322.0,908.0,893.0,34359,33033,1169,1326
2009-01-07,32440.0,33335.0,907.0,895.0,34447,33082,1414,1365
2009-01-08,32444.0,33339.0,899.0,895.0,34216,32698,1134,1518
2009-01-09,32430.0,33336.0,892.0,906.0,33922,32324,1224,1598
2009-01-10,32428.0,33291.0,861.0,863.0,32570,32313,246,257
2009-01-11,32434.0,33250.0,822.0,816.0,32537,32430,224,107
2009-01-12,32451.0,33293.0,860.0,842.0,33833,32667,1403,1166
2009-01-13,32459.0,33347.0,896.0,888.0,33993,32562,1326,1431
2009-01-14,32464.0,33351.0,893.0,888.0,33881,32529,1319,1352
2009-01-15,32455.0,33346.0,883.0,891.0,33750,32217,1221,1533
2009-01-16,32441.0,33334.0,879.0,893.0,33559,32121,1342,1438
2009-01-17,32421.0,33285.0,845.0,865.0,32454,31956,333,498
2009-01-18,32415.0,33231.0,810.0,816.0,32189,32151,233,38
2009-01-19,32421.0,33223.0,807.0,802.0,32416,32077,265,339
2009-01-20,32426.0,33276.0,855.0,849.0,33663,32189,1586,1474
2009-01-21,32448.0,33285.0,859.0,837.0,33657,32394,1468,1263
2009-01-22,32452.0,33306.0,859.0,854.0,33796,32099,1402,1697
2009-01-23,32454.0,33320.0,868.0,867.0,33527,31980,1428,1547
2009-01-24,32450.0,33326.0,872.0,876.0,32286,31969,306,317
2009-01-25,32448.0,33324.0,874.0,876.0,32284,32181,315,103
2009-01-26,32458.0,33367.0,918.0,909.0,33697,32636,1516,1061
2009-01-27,32471.0,33420.0,963.0,950.0,34140,32865,1504,1275
2009-01-28,32472.0,33429.0,958.0,957.0,34169,32729,1304,1440
2009-01-29,32479.0,33438.0,966.0,959.0,34108,32761,1379,1347
2009-01-30,32478.0,33451.0,972.0,974.0,34053,32443,1292,1610
2009-01-31,32467.0,33457.0,980.0,990.0,32871,32238,428,633
2009-02-01,32456.0,33424.0,957.0,967.0,32500,32350,262,150
2009-02-02,32454.0,33455.0,998.0,1001.0,33768,32630,1418,1138
2009-02-03,32448.0,33493.0,1039.0,1045.0,34016,32627,1386,1389
2009-02-04,32428.0,33488.0,1040.0,1059.0,33974,32600,1347,1374
2009-02-05,32398.0,33471.0,1043.0,1073.0,33853,32121,1253,1732
2009-02-06,32351.0,33437.0,1039.0,1086.0,33431,31675,1310,1756
2009-02-07,32322.0,33365.0,1014.0,1043.0,32044,31831,369,213
2009-02-08,32309.0,33304.0,982.0,994.0,32097,31942,266,155
