Date,Midnight population,24-hour population,Book-ins,Book-outs
2008-10-01,"32,589","33,876","1,306","1,287"
2008-10-02,"32,475","33,961","1,372","1,486"
2008-10-03,"32,036","33,762","1,287","1,726"
2008-10-04,"32,024","32,440",404,416
2008-10-05,"32,241","32,299",275,58
2008-10-06,"32,546","33,683","1,442","1,137"
2008-10-07,"32,519","33,927","1,381","1,408"
2008-10-08,"32,656","34,193","1,674","1,537"
2008-10-09,"32,189","33,913","1,257","1,724"
2008-10-10,"32,072","33,731","1,542","1,659"
2008-10-11,"31,956","32,428",356,472
2008-10-12,"32,159","32,233",277,74
2008-10-13,"32,527","32,641",482,114
2008-10-14,"32,678","34,131","1,604","1,453"
2008-10-15,"32,587","34,114","1,436","1,527"
2008-10-16,"32,419","33,992","1,405","1,573"
2008-10-17,"32,421","33,830","1,411","1,409"
2008-10-18,"32,465","32,802",381,337
2008-10-19,"32,744","32,812",347,68
2008-10-20,"32,993","34,219","1,475","1,226"
2008-10-21,"33,005","34,348","1,355","1,343"
2008-10-22,"32,954","34,455","1,450","1,501"
2008-10-23,"32,662","34,239","1,285","1,577"
2008-10-24,"32,413","33,997","1,335","1,584"
2008-10-25,"32,334","32,825",412,491
2008-10-26,"32,588","32,641",307,53
2008-10-27,"32,982","34,083","1,495","1,101"
2008-10-28,"33,111","34,570","1,588","1,459"
2008-10-29,"33,384","34,634","1,523","1,250"
2008-10-30,"33,143","34,800","1,416","1,657"
2008-10-31,"32,747","34,372","1,229","1,625"
2008-11-01,"32,721","33,079",332,358
2008-11-02,"32,958","32,975",254,17
2008-11-03,"33,262","34,397","1,439","1,135"
2008-11-04,"33,237","34,587","1,325","1,350"
2008-11-05,"33,221","34,479","1,242","1,258"
2008-11-06,"32,845","34,476","1,255","1,631"
2008-11-07,"32,298","34,036","1,191","1,738"
2008-11-08,"32,378","32,588",290,210
2008-11-09,"32,510","32,538",160,28
2008-11-10,"32,652","33,917","1,407","1,265"
2008-11-11,"32,861","33,002",350,141
2008-11-12,"33,083","34,365","1,504","1,282"
2008-11-13,"32,748","34,394","1,311","1,646"
2008-11-14,"32,616","34,171","1,423","1,555"
2008-11-15,"32,624","32,886",270,262
2008-11-16,"32,876","32,898",274,22
2008-11-17,"32,939","34,263","1,387","1,324"
