Date,Midnight population,24-hour population,Midnight population count,24-hour population count
2008-10-01,-1.0,-1.0,387,399
2008-10-02,-1.0,-1.0,408,414
2008-10-03,-1.0,-1.0,346,425
2008-10-04,-1.0,-1.0,389,389
2008-10-05,-1.0,-1.0,396,396
2008-10-06,-1.0,-1.0,394,403
2008-10-07,-1.0,-1.0,346,405
2008-10-08,-1.0,-1.0,373,383
2008-10-09,-1.0,-1.0,381,393
2008-10-10,-1.0,-1.0,336,408
2008-10-11,-1.0,-1.0,337,337
2008-10-12,-1.0,-1.0,342,344
2008-10-13,-1.0,-1.0,376,376
2008-10-14,-1.0,-1.0,395,402
2008-10-15,-1.0,-1.0,401,409
2008-10-16,-1.0,-1.0,409,414
2008-10-17,-1.0,-1.0,401,418
2008-10-18,-1.0,-1.0,334,425
2008-10-19,-1.0,-1.0,363,363
2008-10-20,-1.0,-1.0,402,406
2008-10-21,-1.0,-1.0,390,423
2008-10-22,-1.0,-1.0,390,398
2008-10-23,-1.0,-1.0,404,411
2008-10-24,-1.0,-1.0,353,427
2008-10-25,-1.0,-1.0,384,385
2008-10-26,-1.0,-1.0,398,398
2008-10-27,-1.0,-1.0,388,405
2008-10-28,-1.0,-1.0,366,408
2008-10-29,-1.0,-1.0,394,401
2008-10-30,379.0,399.0,390,396
2008-10-31,378.0,399.0,352,422
2008-11-01,376.0,398.0,363,363
2008-11-02,377.0,396.0,371,371
2008-11-03,377.0,396.0,375,380
2008-11-04,376.0,396.0,369,409
2008-11-05,376.0,396.0,382,387
2008-11-06,377.0,395.0,395,401
2008-11-07,376.0,397.0,347,432
2008-11-08,376.0,397.0,384,385
2008-11-09,379.0,397.0,406,407
2008-11-10,381.0,399.0,401,407
2008-11-11,383.0,401.0,403,403
2008-11-12,383.0,403.0,373,430
2008-11-13,382.0,402.0,379,387
2008-11-14,380.0,402.0,348,399
2008-11-15,379.0,401.0,370,370
2008-11-16,379.0,399.0,385,385
2008-11-17,380.0,398.0,386,393
2008-11-18,380.0,399.0,339,388
2008-11-19,378.0,398.0,363,371
2008-11-20,378.0,397.0,382,396
2008-11-21,376.0,398.0,326,411
2008-11-22,374.0,396.0,361,361
2008-11-23,376.0,395.0,399,400
2008-11-24,376.0,396.0,399,407
2008-11-25,376.0,397.0,370,425
2008-11-26,375.0,396.0,371,383
2008-11-27,376.0,395.0,384,384
2008-11-28,373.0,395.0,325,397
2008-11-29,372.0,394.0,360,360
2008-11-30,373.0,393.0,386,386
2008-12-01,374.0,394.0,388,395
