Date,Midnight population,24-hour population,Midnight population count,24-hour population count
2008-10-01,-1.0,-1.0,266,272
2008-10-02,-1.0,-1.0,263,276
2008-10-03,-1.0,-1.0,259,268
2008-10-04,-1.0,-1.0,258,265
2008-10-05,-1.0,-1.0,259,262
2008-10-06,-1.0,-1.0,252,266
2008-10-07,-1.0,-1.0,251,260
2008-10-08,-1.0,-1.0,258,266
2008-10-09,-1.0,-1.0,253,263
2008-10-10,-1.0,-1.0,248,266
2008-10-11,-1.0,-1.0,245,250
2008-10-12,-1.0,-1.0,245,248
2008-10-13,-1.0,-1.0,245,250
2008-10-14,-1.0,-1.0,252,268
2008-10-15,-1.0,-1.0,260,266
2008-10-16,-1.0,-1.0,262,270
2008-10-17,-1.0,-1.0,257,275
2008-10-18,-1.0,-1.0,254,262
2008-10-19,-1.0,-1.0,267,271
2008-10-20,-1.0,-1.0,261,278
2008-10-21,-1.0,-1.0,269,275
2008-10-22,-1.0,-1.0,272,281
2008-10-23,-1.0,-1.0,279,287
2008-10-24,-1.0,-1.0,280,290
2008-10-25,-1.0,-1.0,281,285
2008-10-26,-1.0,-1.0,282,287
2008-10-27,-1.0,-1.0,282,291
2008-10-28,-1.0,-1.0,283,295
2008-10-29,-1.0,-1.0,306,312
2008-10-30,265.0,274.0,302,311
2008-10-31,266.0,275.0,286,304
2008-11-01,267.0,276.0,294,296
2008-11-02,268.0,277.0,294,296
2008-11-03,269.0,278.0,287,300
2008-11-04,270.0,279.0,287,293
2008-11-05,271.0,280.0,291,296
2008-11-06,272.0,281.0,286,302
2008-11-07,273.0,282.0,274,290
2008-11-08,274.0,282.0,280,280
2008-11-09,275.0,283.0,279,284
2008-11-10,276.0,284.0,270,288
2008-11-11,276.0,285.0,266,277
2008-11-12,277.0,286.0,269,279
2008-11-13,277.0,286.0,259,273
2008-11-14,277.0,286.0,249,260
2008-11-15,277.0,286.0,253,256
2008-11-16,277.0,285.0,257,258
2008-11-17,277.0,286.0,259,272
2008-11-18,277.0,286.0,270,288
2008-11-19,277.0,286.0,276,286
2008-11-20,277.0,287.0,268,290
2008-11-21,277.0,287.0,261,278
2008-11-22,276.0,286.0,264,270
