Date,Midnight population,24-hour population,Midnight population count,24-hour population count
2008-10-01,-1.0,-1.0,683,720
2008-10-02,-1.0,-1.0,641,723
2008-10-03,-1.0,-1.0,662,731
2008-10-04,-1.0,-1.0,663,663
2008-10-05,-1.0,-1.0,663,663
2008-10-06,-1.0,-1.0,702,706
2008-10-07,-1.0,-1.0,750,794
2008-10-08,-1.0,-1.0,752,798
2008-10-09,-1.0,-1.0,698,789
2008-10-10,-1.0,-1.0,831,863
2008-10-11,-1.0,-1.0,672,837
2008-10-12,-1.0,-1.0,672,672
2008-10-13,-1.0,-1.0,645,675
2008-10-14,-1.0,-1.0,668,684
2008-10-15,-1.0,-1.0,672,686
2008-10-16,-1.0,-1.0,694,727
2008-10-17,-1.0,-1.0,721,759
2008-10-18,-1.0,-1.0,667,751
2008-10-19,-1.0,-1.0,669,670
2008-10-20,-1.0,-1.0,695,748
2008-10-21,-1.0,-1.0,718,782
2008-10-22,-1.0,-1.0,736,786
2008-10-23,-1.0,-1.0,732,774
2008-10-24,-1.0,-1.0,714,785
2008-10-25,-1.0,-1.0,625,723
2008-10-26,-1.0,-1.0,627,627
2008-10-27,-1.0,-1.0,629,658
2008-10-28,-1.0,-1.0,657,712
2008-10-29,-1.0,-1.0,685,698
2008-10-30,688.0,731.0,694,725
2008-10-31,689.0,733.0,727,782
2008-11-01,689.0,734.0,638,748
2008-11-02,689.0,731.0,657,657
2008-11-03,690.0,733.0,681,710
2008-11-04,690.0,735.0,668,734
2008-11-05,689.0,736.0,673,714
2008-11-06,686.0,733.0,654,705
2008-11-07,680.0,729.0,589,677
2008-11-08,676.0,722.0,555,598
2008-11-09,666.0,712.0,556,556
2008-11-10,663.0,704.0,578,586
2008-11-11,660.0,701.0,577,581
2008-11-12,659.0,699.0,617,628
2008-11-13,657.0,697.0,596,635
2008-11-14,656.0,696.0,641,647
2008-11-15,654.0,694.0,651,677
2008-11-16,652.0,691.0,650,651
2008-11-17,652.0,689.0,673,686
2008-11-18,650.0,691.0,621,741
2008-11-19,648.0,689.0,630,677
2008-11-20,646.0,686.0,641,694
2008-11-21,642.0,684.0,638,745
2008-11-22,639.0,680.0,641,642
2008-11-23,637.0,675.0,644,644
2008-11-24,636.0,674.0,586,680
2008-11-25,634.0,674.0,588,623
2008-11-26,635.0,673.0,635,648
2008-11-27,635.0,672.0,665,666
2008-11-28,633.0,671.0,631,684
2008-11-29,631.0,668.0,631,633
2008-11-30,628.0,663.0,633,634
2008-12-01,627.0,660.0,623,653
2008-12-02,627.0,662.0,643,705
2008-12-03,625.0,662.0,636,716
2008-12-04,624.0,660.0,637,684
2008-12-05,624.0,660.0,659,712
2008-12-06,624.0,659.0,643,675
2008-12-07,626.0,658.0,649,649
2008-12-08,629.0,660.0,650,663
2008-12-09,632.0,666.0,658,706
2008-12-10,635.0,670.0,677,717
2008-12-11,638.0,675.0,663,729
2008-12-12,641.0,679.0,697,741
2008-12-13,640.0,681.0,552,699
2008-12-14,637.0,678.0,553,554
2008-12-15,634.0,674.0,560,569
2008-12-16,631.0,673.0,578,608
2008-12-17,630.0,671.0,629,652
2008-12-18,632.0,671.0,687,723
2008-12-19,634.0,674.0,691,763
2008-12-20,634.0,675.0,641,724
2008-12-21,634.0,671.0,643,646
2008-12-22,632.0,672.0,564,657
2008-12-23,631.0,672.0,638,652
2008-12-24,635.0,674.0,692,723
2008-12-25,638.0,676.0,671,693
2008-12-26,639.0,677.0,676,676
2008-12-27,639.0,677.0,676,676
2008-12-28,641.0,677.0,675,676
2008-12-29,640.0,679.0,593,691
2008-12-30,639.0,679.0,603,644
2008-12-31,639.0,679.0,627,653
2009-01-01,638.0,677.0,627,627
2009-01-02,637.0,675.0,589,660
2009-01-03,635.0,672.0,591,591
2009-01-04,633.0,668.0,593,593
2009-01-05,631.0,665.0,591,604
2009-01-06,630.0,665.0,610,635
2009-01-07,630.0,665.0,642,670
2009-01-08,630.0,665.0,678,709
2009-01-09,631.0,667.0,712,768
2009-01-10,631.0,666.0,651,717
2009-01-11,630.0,664.0,653,653
2009-01-12,634.0,664.0,687,703
2009-01-13,638.0,670.0,662,742
2009-01-14,641.0,674.0,673,706
2009-01-15,645.0,679.0,694,738
2009-01-16,647.0,682.0,673,741
2009-01-17,644.0,680.0,610,681
2009-01-18,642.0,675.0,614,614
2009-01-19,641.0,672.0,616,616
2009-01-20,642.0,673.0,678,694
2009-01-21,645.0,675.0,648,706
2009-01-22,644.0,676.0,620,693
2009-01-23,642.0,675.0,630,675
2009-01-24,637.0,673.0,507,635
2009-01-25,631.0,667.0,506,507
2009-01-26,625.0,662.0,509,528
2009-01-27,622.0,660.0,586,620
2009-01-28,624.0,659.0,625,653
2009-01-29,626.0,662.0,676,738
2009-01-30,628.0,666.0,696,770
