Date,Midnight population,24-hour population,Midnight population count,24-hour population count
2008-10-01,-1.0,-1.0,1696,1833
2008-10-02,-1.0,-1.0,1619,1754
2008-10-03,-1.0,-1.0,1695,1715
2008-10-04,-1.0,-1.0,1570,1696
2008-10-05,-1.0,-1.0,1570,1570
2008-10-06,-1.0,-1.0,1594,1608
2008-10-07,-1.0,-1.0,1598,1721
2008-10-08,-1.0,-1.0,1810,1829
2008-10-09,-1.0,-1.0,1730,1866
2008-10-10,-1.0,-1.0,1806,1817
2008-10-11,-1.0,-1.0,1806,1807
2008-10-12,-1.0,-1.0,1806,1806
2008-10-13,-1.0,-1.0,1806,1806
2008-10-14,-1.0,-1.0,1792,1865
2008-10-15,-1.0,-1.0,1691,1876
2008-10-16,-1.0,-1.0,1673,1801
2008-10-17,-1.0,-1.0,1677,1743
2008-10-18,-1.0,-1.0,1676,1678
2008-10-19,-1.0,-1.0,1676,1676
2008-10-20,-1.0,-1.0,1550,1718
2008-10-21,-1.0,-1.0,1658,1679
2008-10-22,-1.0,-1.0,1577,1686
2008-10-23,-1.0,-1.0,1500,1633
2008-10-24,-1.0,-1.0,1632,1647
2008-10-25,-1.0,-1.0,1676,1678
2008-10-26,-1.0,-1.0,1676,1677
2008-10-27,-1.0,-1.0,1622,1698
2008-10-28,-1.0,-1.0,1684,1760
2008-10-29,-1.0,-1.0,1648,1724
2008-10-30,1670.0,1736.0,1589,1714
2008-10-31,1669.0,1731.0,1670,1686
2008-11-01,1672.0,1729.0,1704,1704
2008-11-02,1672.0,1729.0,1704,1704
2008-11-03,1678.0,1730.0,1730,1735
2008-11-04,1684.0,1741.0,1771,1878
2008-11-05,1691.0,1747.0,1797,1812
2008-11-06,1697.0,1753.0,1779,1873
2008-11-07,1699.0,1754.0,1855,1873
2008-11-08,1703.0,1754.0,1855,1856
2008-11-09,1704.0,1755.0,1855,1855
2008-11-10,1703.0,1758.0,1749,1900
2008-11-11,1701.0,1756.0,1749,1749
2008-11-12,1697.0,1755.0,1704,1782
2008-11-13,1694.0,1754.0,1698,1822
2008-11-14,1697.0,1753.0,1782,1838
2008-11-15,1701.0,1752.0,1781,1782
2008-11-16,1704.0,1753.0,1781,1781
2008-11-17,1709.0,1758.0,1813,1821
2008-11-18,1718.0,1768.0,1958,1968
2008-11-19,1729.0,1777.0,1867,1993
2008-11-20,1736.0,1787.0,1880,1976
2008-11-21,1749.0,1797.0,1966,1980
2008-11-22,1765.0,1808.0,1967,1972
2008-11-23,1776.0,1819.0,1967,1967
2008-11-24,1781.0,1829.0,1842,1997
2008-11-25,1790.0,1838.0,1920,1948
2008-11-26,1801.0,1849.0,1966,2014
2008-11-27,1810.0,1856.0,1966,1966
2008-11-28,1816.0,1864.0,1827,1969
2008-11-29,1824.0,1868.0,1827,1827
2008-11-30,1830.0,1872.0,1827,1827
2008-12-01,1835.0,1878.0,1872,1883
2008-12-02,1843.0,1890.0,1946,2055
2008-12-03,1851.0,1899.0,1968,1995
2008-12-04,1856.0,1904.0,1908,2051
2008-12-05,1862.0,1911.0,1982,2004
2008-12-06,1869.0,1914.0,1981,1982
2008-12-07,1873.0,1918.0,1981,1981
2008-12-08,1875.0,1922.0,1933,1986
2008-12-09,1880.0,1930.0,1999,2079
2008-12-10,1888.0,1937.0,1967,2117
2008-12-11,1893.0,1948.0,1922,2070
2008-12-12,1902.0,1956.0,1951,2016
2008-12-13,1910.0,1960.0,1951,1951
2008-12-14,1916.0,1964.0,1951,1951
2008-12-15,1920.0,1971.0,1901,1992
2008-12-16,1924.0,1980.0,1916,2053
2008-12-17,1925.0,1984.0,1842,1962
2008-12-18,1920.0,1983.0,1797,1927
2008-12-19,1919.0,1980.0,1853,1887
2008-12-20,1915.0,1975.0,1743,1855
2008-12-21,1907.0,1968.0,1743,1743
2008-12-22,1898.0,1961.0,1702,1781
2008-12-23,1892.0,1958.0,1791,1866
2008-12-24,1889.0,1953.0,1723,1843
2008-12-25,1882.0,1945.0,1723,1723
2008-12-26,1874.0,1936.0,1723,1723
2008-12-27,1866.0,1927.0,1723,1723
2008-12-28,1862.0,1919.0,1722,1725
2008-12-29,1860.0,1917.0,1751,1765
2008-12-30,1858.0,1920.0,1778,1917
2008-12-31,1856.0,1918.0,1808,1823
2009-01-01,1851.0,1910.0,1808,1808
2009-01-02,1847.0,1906.0,1849,1872
2009-01-03,1845.0,1899.0,1849,1849
2009-01-04,1841.0,1894.0,1849,1849
2009-01-05,1836.0,1891.0,1821,1903
2009-01-06,1832.0,1892.0,1856,1992
2009-01-07,1829.0,1890.0,1850,1927
2009-01-08,1822.0,1885.0,1792,1924
2009-01-09,1817.0,1876.0,1817,1872
2009-01-10,1813.0,1868.0,1817,1818
2009-01-11,1809.0,1861.0,1817,1818
2009-01-12,1805.0,1858.0,1835,1858
