code,latitude,longitude,N,size,N_min,N_max
ABQHOLD,35.053,-106.629,9.161,2.0,3.71,29.3
ADACOID,43.607,-116.27,0.0,2.0,0.032,10.194
ADAMSCO,39.987,-104.799,0.0,2.0,0.032,0.032
ADAMSWA,47.127,-118.383,0.032,2.0,0.032,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.032,0.567
ADLNTCA,34.558,-117.442,513.097,9.0,4.839,553.9
AGAHOLD,13.477,144.748,0.097,2.0,0.032,0.533
AGC,18.494,-67.142,0.0,2.0,0.032,59.516
AIRHOPR,18.44,-66.005,0.065,2.0,0.032,0.516
AKCOOKI,61.219,-149.871,0.677,2.0,0.033,0.871
AKFAIRB,64.835,-147.761,0.0,2.0,0.032,0.968
AKHIGHL,61.304,-149.58,0.0,2.0,0.032,3.857
AKKETCH,55.348,-131.65,0.0,2.0,0.033,0.161
AKLEMON,58.361,-134.488,0.0,2.0,0.032,0.677
AKMATSU,61.601,-149.119,0.0,2.0,0.129,0.129
AKMCYOU,61.188,-149.832,0.0,2.0,0.065,0.097
AKWILPT,60.583,-151.3,0.0,2.0,0.065,0.129
ALAMCNC,36.069,-79.402,39.29,3.5,33.214,89.067
ALBCONY,42.751,-73.815,2.935,2.0,1.6,32.233
ALBEMVA,38.006,-78.495,0.0,2.0,0.032,0.032
ALEXAVA,38.799,-77.067,0.0,2.0,0.065,0.323
ALHAMCA,34.092,-118.127,0.065,2.0,0.032,25.964
ALLEGNY,42.212,-78.017,7.613,2.0,3.806,23.677
ALLEGPA,40.435,-79.994,8.29,2.0,1.839,16.484
ALMHOLD,37.488,-105.86,0.129,2.0,0.1,0.929
ANCHOAK,61.218,-149.858,1.645,2.0,0.71,9.714
ANJUVMN,45.181,-93.122,0.0,2.0,0.067,0.1
APACHAZ,34.502,-109.364,0.0,2.0,0.143,0.806
ARLCOVA,38.891,-77.083,0.0,2.0,0.033,52.29
AROOSME,46.125,-67.838,0.0,2.0,0.032,0.467
ASHRSFL,26.123,-80.137,0.871,2.0,0.29,2.903
ATLANGA,33.747,-84.395,78.29,3.5,63.484,214.3
ATLHOLD,33.753,-84.393,21.129,3.5,21.129,41.935
AURORCO,39.71,-104.79,0.0,2.0,0.032,0.032
AUSHOLD,30.27,-97.739,13.129,3.5,0.129,17.226
AZDCTUC,32.066,-110.859,0.0,2.0,0.033,0.033
BAILECA,32.59,-116.921,0.0,2.0,0.6,0.806
BAKERFL,30.296,-82.122,259.097,6.0,43.4,295.161
BALDWAL,30.885,-87.775,3.161,2.0,1.633,8.742
BALHOLD,39.255,-76.681,8.161,2.0,6.679,13.367
BANNOID,42.839,-112.41,0.0,2.0,0.032,5.065
BARRECA,32.73,-116.695,0.0,2.0,0.033,0.033
BASILLA,30.487,-92.583,325.323,6.0,244.355,756.774
BEDCITX,32.841,-97.133,17.71,3.5,1.968,44.367
BEDFOOH,41.409,-81.497,65.484,3.5,12.733,84.233
BEDFOPA,40.008,-78.505,0.0,2.0,0.065,0.323
BEFAMPA,40.38,-76.02,70.387,3.5,29.929,83.226
BEJUVPA,40.383,-76.017,0.0,2.0,0.032,0.032
BENTOWA,46.221,-119.221,0.0,2.0,3.0,15.742
BERGENJ,40.874,-74.039,103.452,6.0,92.839,142.7
BERKSPA,40.383,-76.017,0.0,2.0,0.032,32.806
BERNANM,35.089,-106.651,0.0,2.0,0.032,0.267
BESECPA,40.383,-76.017,0.0,2.0,0.032,7.032
BHCALCA,34.077,-118.073,0.0,2.0,0.484,3.645
BHMHOLD,33.48,-86.791,0.0,2.0,2.1,2.1
BIGHOMT,45.733,-107.609,0.0,2.0,0.032,0.533
BIGHOWY,44.383,-108.04,0.0,2.0,0.033,0.033
BKLHOLD,35.374,-119.011,15.161,3.5,7.667,28.032
BLOUNTN,35.75,-83.991,0.0,2.0,1.643,4.733
BOEHOLD,31.792,-106.403,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.097,2.0,0.032,0.871
BOONEKY,39.037,-84.724,142.806,6.0,33.3,200.581
BOPALM,41.128,-76.922,0.0,2.0,0.613,2.0
BOPBRO,40.66,-74.003,0.0,2.0,0.032,0.032
BOPBUT,36.187,-78.741,0.0,2.0,0.226,1.0
BOPCAA,41.565,-75.42,0.0,2.0,0.032,1.0
BOPCUM,39.597,-78.754,0.0,2.0,0.467,1.0
BOPGUA,18.423,-66.112,35.581,3.5,25.71,72.133
BOPHON,21.333,-157.929,40.226,3.5,39.467,70.871
BOPLOF,34.677,-120.5,2.419,2.0,0.033,3.0
BOPLOS,34.054,-118.238,0.0,2.0,0.032,0.032
BOPMAR,37.663,-88.984,0.0,2.0,0.933,1.0
BOPMCR,36.688,-84.388,0.0,2.0,0.393,1.0
BOPMEM,35.156,-89.867,0.0,2.0,0.107,1.033
BOPMIM,25.778,-80.193,0.0,2.0,0.065,0.065
BOPOAD,30.821,-92.641,557.968,9.0,466.194,773.067
BOPRAE,32.052,-82.874,0.0,2.0,0.032,0.033
BOPRCH,44.023,-92.44,0.0,2.0,0.871,2.0
BOPSDC,32.714,-117.166,1.032,2.0,0.533,2.033
BOPSET,47.422,-122.302,0.0,2.0,0.033,0.871
BOPSPG,37.178,-93.323,2.0,2.0,0.355,8.5
BOPTCP,32.08,-110.858,0.0,2.0,0.71,0.871
BOPTHA,39.416,-87.451,2.0,2.0,0.567,2.065
BOPVIM,34.572,-117.38,0.0,2.0,0.033,0.033
BOSHOLD,42.483,-71.209,0.71,2.0,0.1,4.323
BOTTIND,48.828,-100.45,0.0,2.0,0.032,0.933
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.366,-71.052,0.065,2.0,0.032,1.806
BRADEFL,27.495,-82.573,0.0,2.0,0.3,1.0
BRCHOLD,40.272,-103.625,1.0,2.0,0.323,1.833
BRGMCFL,26.103,-80.141,0.065,2.0,0.032,0.548
BRINDMA,41.665,-70.996,222.839,6.0,128.258,242.548
BROADMT,46.321,-111.516,0.0,2.0,0.065,0.533
BROCRFL,26.121,-80.143,0.0,2.0,0.067,0.067
BROJAFL,26.115,-80.143,0.0,2.0,0.032,0.032
BROKSTX,27.248,-98.126,0.0,2.0,0.179,0.179
BROMMNY,42.131,-75.913,0.065,2.0,0.033,0.548
BSAHOLD,41.869,-87.866,0.613,2.0,0.032,0.613
BSCDRTX,32.221,-101.507,0.0,2.0,0.857,0.857
BSCORTX,32.223,-101.506,0.0,2.0,0.107,0.643
BSFLTTX,32.227,-101.528,0.0,2.0,0.107,0.107
BSGDFTX,33.201,-101.372,0.0,2.0,0.536,0.536
BSNTRTX,32.262,-101.497,0.0,2.0,0.033,0.033
BTV,43.02,-78.203,457.548,6.0,457.548,574.067
BURNETX,30.742,-98.253,0.0,2.0,0.032,0.267
BUTLEKS,37.814,-96.83,9.935,2.0,0.226,17.29
BUTLEOH,39.39,-84.553,90.839,3.5,53.161,228.677
BWDGICA,34.063,-118.239,1.613,2.0,1.032,4.645
CACTYCA,35.156,-117.862,111.968,6.0,14.194,116.29
CAJUVMN,44.789,-93.593,0.0,2.0,0.033,0.786
CALDWMO,39.643,-94.047,28.839,3.5,27.607,60.433
CALHOMI,42.317,-85.176,145.968,6.0,117.6,218.8
CAMBRPA,40.484,-78.701,16.677,3.5,16.333,121.581
CAMCOWY,44.277,-105.51,0.0,2.0,0.065,0.2
CAMERTX,25.905,-97.491,0.774,2.0,0.032,0.774
CARBOWY,41.796,-107.224,0.0,2.0,0.033,0.903
CARJAMN,44.787,-93.593,30.774,3.5,21.233,45.387
CARROMD,39.573,-76.986,3.0,2.0,0.167,17.3
CASCAMT,47.466,-111.38,1.226,2.0,0.065,3.433
CASPCAL,33.166,-115.485,0.0,2.0,0.036,1.097
CASSCND,46.87,-96.833,0.0,2.0,0.033,0.452
CASSCNE,41.011,-95.883,28.452,3.5,14.393,42.452
CATTANY,42.251,-78.8,0.0,2.0,0.065,1.194
CAWVALL,34.081,-117.529,0.0,2.0,0.067,0.067
CAYUGNY,42.98,-76.544,0.0,2.0,0.032,0.333
CBRRSNC,35.409,-80.578,0.065,2.0,0.032,3.433
CCADCAZ,33.064,-111.379,71.871,3.5,62.767,99.367
CCAFLAZ,33.044,-111.372,194.806,6.0,179.903,222.161
CCAHUTX,30.565,-97.42,511.065,9.0,137.067,527.433
CCASDCA,32.577,-116.915,695.226,9.0,655.536,702.267
CEMEDFL,25.788,-80.216,0.0,2.0,0.258,0.452
CFREDVA,39.199,-78.146,0.0,2.0,0.968,0.968
CGRMCAZ,32.881,-111.709,0.0,2.0,0.032,0.1
CHACONY,42.255,-79.504,5.452,2.0,0.355,14.433
CHAHOLD,18.322,-64.964,0.032,2.0,0.032,0.258
CHARLSC,32.859,-80.009,43.742,3.5,1.0,133.968
CHASEKS,38.375,-96.539,28.0,3.5,20.774,50.387
CHELAWA,47.423,-120.315,0.0,2.0,0.065,6.645
CHIHOLD,41.975,-87.89,5.613,2.0,0.032,17.9
CHIPPMI,46.497,-84.346,38.871,3.5,21.129,54.742
CHRISMO,37.02,-93.206,22.645,3.5,7.29,31.7
CHYHOLD,41.137,-104.82,0.484,2.0,0.033,1.032
CITRUFL,28.846,-82.478,0.0,2.0,0.032,0.032
CKHOSFL,25.731,-80.386,1.258,2.0,0.129,2.419
CLARIPA,41.238,-79.423,0.0,2.0,0.129,0.129
CLARKWA,45.631,-122.678,0.0,2.0,0.033,0.033
CLICONY,44.72,-73.468,5.613,2.0,3.323,25.806
CLINTPA,41.155,-77.337,58.29,3.5,58.29,178.645
CLTHOLD,35.223,-80.838,0.032,2.0,0.032,6.839
CMPJVNY,42.913,-78.868,0.065,2.0,0.032,0.7
CNGHOLD,35.106,-85.298,0.0,2.0,0.233,0.233
COBBJGA,33.909,-84.581,4.0,2.0,4.0,31.467
COCHIAZ,31.433,-109.871,0.0,2.0,0.032,0.3
COCONAZ,35.188,-111.64,0.0,2.0,0.032,1.367
COLCASC,34.076,-80.98,0.0,2.0,0.097,39.433
COLLIFL,26.126,-81.766,8.419,2.0,2.767,29.75
COLOMNY,42.25,-73.756,0.0,2.0,0.065,0.071
COLUMOR,45.849,-122.819,2.0,2.0,0.067,43.677
COLUMPA,40.998,-76.451,0.0,2.0,0.161,38.29
COMFTFL,25.733,-80.383,0.0,2.0,0.065,1.839
CONCOCA,38.018,-122.133,0.161,2.0,0.032,13.5
CONCOLA,31.586,-91.557,0.0,2.0,0.032,0.032
CONEJCO,37.086,-106.005,0.194,2.0,0.167,3.333
CONVEWY,42.76,-105.381,0.0,2.0,0.033,0.233
CONWECA,37.994,-122.352,122.129,6.0,70.033,187.9
COOSCOR,43.177,-124.186,0.065,2.0,0.065,0.065
COSTACA,33.652,-117.912,0.0,2.0,0.033,4.607
COWJVWA,46.141,-122.918,0.806,2.0,0.067,2.839
CRGHOLD,40.514,-107.545,0.29,2.0,0.065,0.452
CRIHOLD,41.975,-91.67,0.0,2.0,0.032,1.107
CROWGMN,46.356,-94.206,0.0,2.0,0.355,1.71
CRTOSCA,33.885,-118.102,0.0,2.0,0.071,0.071
CSCNWWA,47.25,-122.423,1350.129,12.0,699.387,1366.613
CSPHOLD,42.852,-106.325,0.129,2.0,0.067,0.968
CSYJVNY,43.097,-79.054,0.0,2.0,0.032,0.226
CTLAFSL,41.761,-72.683,0.0,2.0,0.065,4.742
CTYORCI,41.323,-72.237,0.0,2.0,0.2,14.867
CULPEVA,38.474,-77.997,0.0,2.0,0.032,0.032
CUMBEME,43.651,-70.282,2.968,2.0,1.839,50.0
CUSTEMT,46.405,-105.854,0.0,2.0,0.194,0.194
CVREGVA,38.223,-78.124,0.0,2.0,0.097,0.097
DAKOTNE,42.415,-96.419,3.516,2.0,0.677,5.9
DALHOLD,32.824,-96.872,16.871,3.5,5.323,32.033
DAVIDTN,36.186,-86.785,19.355,3.5,16.1,62.29
DAWSOMT,47.105,-104.715,0.0,2.0,0.067,0.323
DCDOCDC,38.916,-77.025,0.0,2.0,0.032,0.133
DEAPDMI,42.323,-83.173,6.903,2.0,6.903,16.226
DEKALAL,34.429,-85.76,55.613,3.5,7.903,79.067
DEKALGA,33.747,-84.312,0.0,2.0,0.032,0.742
DELTACO,38.743,-108.064,0.0,2.0,0.065,0.071
DENCICO,39.737,-104.992,0.0,2.0,0.065,2.032
DENHOLD,39.784,-104.849,9.323,2.0,9.323,30.774
DENICDF,39.766,-104.865,397.355,6.0,386.8,444.161
DENVECO,39.767,-104.864,0.065,2.0,0.065,4.935
DEPCOGU,13.448,144.786,0.0,2.0,12.065,42.226
DEPYOGU,13.382,144.662,0.0,2.0,0.032,1.0
DETHOLD,42.409,-83.038,0.161,2.0,0.033,2.033
DHDFNJ,40.717,-74.128,351.839,6.0,0.097,351.839
