detention_facility_code,name,state,type,start,end,place
RICRANS,"ACI, Cranston RI",RI,Non-dedicated,77,78,"Cranston, RI"
AZDCTUC,AZ Dpt Corrections Tucson,AZ,Non-dedicated,6,7,"Tucson, AZ"
IWAHOLD,AZ Rem Op Coord Center (AROCC),AZ,Hold / Staging,15,210,"Mesa, AZ"
ANWHMMN,Abbott Northwestern Hosp,MN,Medical,174,175,"Minneapolis, MN"
ABTHOLD,Abilene Hold Room,TX,Hold / Staging,56,86,"Abilene, TX"
ABRMCTX,Abilene Regional Med Ctr,TX,Medical,144,145,"Abilene, TX"
ABRXSPA,Abraxas Academy Detention Center,PA,Family / Youth,67,210,"Morgantown, PA"
ADACOID,Ada County Jail,ID,Non-dedicated,0,130,"Boise, ID"
ADAIRKY,Adair County Regional Jail,KY,Other / Unknown,123,124,"Columbia, KY"
ADAMSWA,Adams County,WA,Non-dedicated,0,137,"Ritzville, WA"
ADAMSMS,Adams County Det Center,MS,Dedicated,128,210,"Natchez, MS"
ADAMSCO,Adams County Jail,CO,Non-dedicated,12,18,"Brighton, CO"
ADDCOVT,Addison County Jail,VT,Non-dedicated,0,208,"Middlebury, VT"
ADLNTCA,Adelanto ICE Processing Center,CA,Dedicated,34,210,"Adelanto, CA"
NYADIRC,"Adirondack CF, Raybrook",NY,Other / Unknown,133,134,"Ray Brook, NY"
ADVHBCA,Adventist Health Bakersfield,CA,Medical,180,202,"Bakersfield, CA"
ADVHCHI,Adventist Health Castle,HI,Medical,199,200,"Kailua, HI"
ADVHDCA,Adventist Health Delano,CA,Medical,190,200,"Delano, CA"
AGAHOLD,Agana INS,GU,Hold / Staging,11,206,"Hagatna, GU"
AGC,Aguadilla SPC,PR,Hold / Staging,0,210,"Aguadilla, PR"
AIRHOPR,"Airport Hotel, Saj.",PR,Hotel,0,175,"Isla Verde, PR"
ALAMCNC,Alamance Co. Det. Facility,NC,Non-dedicated,0,206,"Graham, NC"
ALAMOTX,Alamo Police Dept.,TX,Other / Unknown,69,208,"Alamo , TX"
ALAMOCO,Alamosa County Jail,CO,Other / Unknown,93,136,"Alamosa, CO"
ALMHOLD,Alamosa Holdroom,CO,Hold / Staging,24,208,"Alamosa, CO"
ALBCONY,Albany County Jail,NY,Federal,0,126,"Albany, NY"
ALBHOLD,Albany Holdroom,NY,Hold / Staging,86,210,"Latham, NY"
ALBEMVA,Albemarle-Charlottesville,VA,Non-dedicated,31,71,"Charlottesville, VA"
ABQHOLD,Albuquerque Hold Room,NM,Hold / Staging,7,210,"Albuquerque, NM"
ALEXAVA,Alexandria City Jail,VA,Federal,3,210,"Alexandria, VA"
ALEXAAL,Alexandria City Jail,VA,Other / Unknown,102,103,"Alexandria, VA"
JENATLA,Alexandria Staging Facility,LA,Hold / Staging,73,210,"Alexandria, LA"
BHCALCA,Alhambra BHC Hospital,CA,Medical,0,76,"Rosemead, CA"
ALHAMCA,Alhambra City Jail,CA,Federal,0,188,"Alhambra, CA"
ALLEGNY,Allegany County Jail,NY,Non-dedicated,0,210,"Belmont, NY"
ALLEGVA,Alleghany County Jail,VA,Non-dedicated,206,209,"Covington, VA"
ALLEGPA,Allegheny Co. Jail,PA,Federal,0,88,"Pittsburgh, PA"
ALLENIN,Allen County Jail,IN,Federal,136,165,"Ft. Wayne, IN"
APPSCLA,Allen Parish Public Safety Complex,LA,Non-dedicated,91,210,"Oberlin, LA"
BOPALM,Allenwood (Med) FCI,PA,Federal,0,170,"White Deer, PA"
AHGRFND,Altru Hospital Grand Forks,ND,Medical,200,201,"Grand Forks, ND"
APIBHCA,Alvarado Parkway Institute,CA,Medical,76,204,"La Mesa, CA"
AMTHOLD,Amarillo Hold Room,TX,Hold / Staging,53,210,"Amarillo, TX"
AMHERVA,Amherst County Jail,VA,Non-dedicated,205,209,"Madison Heights, VA"
