code,latitude,longitude,N,size,N_min,N_max
ADACOID,43.607,-116.27,10.194,3.5,8.613,10.194
ADAMSWA,47.127,-118.383,0.065,2.0,0.065,0.833
ADDCOVT,44.012,-73.164,0.0,2.0,0.065,0.567
AGC,18.43,-67.154,13.968,3.5,13.968,48.387
AIRHOPR,18.44,-65.999,0.0,2.0,0.067,0.097
AKCOOKI,61.218,-149.858,0.0,2.0,0.097,0.097
AKFAIRB,64.833,-147.759,0.0,2.0,0.067,0.258
AKHIGHL,61.303,-149.579,0.0,2.0,0.484,0.533
AKLEMON,58.363,-134.484,0.032,2.0,0.032,0.3
AKMATSU,61.602,-149.109,0.0,2.0,0.129,0.129
ALAMCNC,36.068,-79.404,77.645,3.5,77.645,89.067
ALBCONY,42.751,-73.816,10.258,3.5,10.2,18.032
ALHAMCA,34.092,-118.127,17.194,3.5,13.467,19.387
ALLEGNY,42.213,-78.017,12.645,3.5,12.645,23.677
ALLEGPA,40.435,-79.994,16.484,3.5,9.233,16.484
ANCHOAK,61.219,-149.857,6.516,2.0,3.29,6.516
ARLCOVA,38.891,-77.083,0.871,2.0,0.871,39.452
AROOSME,46.125,-67.839,0.0,2.0,0.097,0.333
ATLANGA,33.763,-84.387,181.806,6.0,162.613,181.806
ATLHOLD,33.753,-84.394,27.516,3.5,27.516,31.484
BALHOLD,39.255,-76.681,8.0,2.0,8.0,9.323
BANNOID,42.825,-112.389,5.065,2.0,1.613,5.065
BASILLA,30.487,-92.582,316.129,6.0,315.1,538.677
BEDCITX,32.842,-97.131,39.419,3.5,39.0,44.367
BEDFOOH,41.406,-81.498,19.806,3.5,19.806,27.097
BEDFOPA,40.017,-78.506,0.0,2.0,0.226,0.226
BEFAMPA,40.38,-76.016,82.71,3.5,81.933,83.226
BENTOWA,46.222,-119.219,9.0,2.0,9.0,11.2
BERGENJ,40.874,-74.039,117.452,6.0,117.452,142.7
BERKSPA,40.385,-76.02,32.548,3.5,27.0,32.806
BERNANM,35.09,-106.651,0.0,2.0,0.194,0.194
BESECPA,40.382,-76.017,5.806,2.0,5.467,5.806
BHCALCA,34.089,-118.074,3.645,2.0,1.1,3.645
BIGHOMT,45.35,-107.272,0.032,2.0,0.032,0.2
BKLHOLD,35.374,-119.011,11.032,3.5,9.433,13.258
BLOUNTN,35.755,-83.959,3.129,2.0,3.129,4.733
BOEHOLD,31.806,-106.371,1.0,2.0,1.0,1.0
BONNEID,43.495,-112.041,0.097,2.0,0.097,0.871
BOONEKY,39.037,-84.728,74.194,3.5,33.3,74.194
BOPALM,41.127,-76.922,2.0,2.0,2.0,2.0
BOPCUM,39.597,-78.754,1.0,2.0,1.0,1.0
BOPGUA,38.795,-106.535,51.065,3.5,50.71,72.133
BOPHON,21.334,-157.928,57.387,3.5,55.333,70.871
BOPLOS,34.054,-118.24,0.0,2.0,0.032,0.032
BOPMAR,37.663,-88.984,1.0,2.0,1.0,1.0
BOPMEM,35.156,-89.867,1.0,2.0,1.0,1.0
BOPMIM,25.778,-80.193,0.065,2.0,0.065,0.065
BOPOAD,30.832,-92.637,503.419,9.0,466.194,585.2
BOPRAE,32.054,-82.877,0.0,2.0,0.032,0.033
BOPRCH,44.024,-92.436,2.0,2.0,2.0,2.0
BOPSPG,37.177,-93.325,6.0,2.0,5.833,6.0
BOPTHA,39.408,-87.455,2.0,2.0,2.0,2.065
BOTTIND,48.828,-100.45,0.129,2.0,0.129,0.933
BOWCOTX,33.421,-94.043,0.0,2.0,0.194,0.194
BPC,42.368,-71.052,0.516,2.0,0.516,1.806
BRADEFL,27.495,-82.573,1.0,2.0,1.0,1.0
BRINDMA,41.666,-70.996,174.774,6.0,174.774,188.548
BROMMNY,42.131,-75.914,0.161,2.0,0.161,0.548
BTV,43.02,-78.202,497.71,6.0,497.71,507.806
BUTLEKS,37.817,-96.862,0.0,2.0,0.968,0.968
BUTLEOH,39.388,-84.556,228.677,6.0,182.258,228.677
BWDGICA,34.063,-118.239,4.645,2.0,2.567,4.645
CAJUVMN,44.788,-93.593,0.065,2.0,0.065,0.067
CALDWMO,39.642,-94.047,52.452,3.5,52.452,60.433
CALHOMI,42.317,-85.176,192.968,6.0,192.968,203.097
CAMBRPA,40.484,-78.701,70.839,3.5,70.839,121.581
CAMCOWY,44.277,-105.512,0.0,2.0,0.2,0.2
CARBOWY,41.796,-107.223,0.903,2.0,0.033,0.903
CARJAMN,44.787,-93.593,39.323,3.5,39.323,43.065
CARROMD,39.572,-76.987,1.387,2.0,0.167,1.387
CASCAMT,47.432,-111.507,1.484,2.0,0.226,1.484
CASSCNE,41.012,-95.883,20.613,3.5,20.613,30.967
CATTANY,42.252,-78.8,0.323,2.0,0.323,0.4
CAYUGNY,42.98,-76.543,0.258,2.0,0.067,0.29
CCADCAZ,33.044,-111.377,73.903,3.5,62.767,73.903
CCAFLAZ,33.043,-111.372,212.806,6.0,195.267,214.677
CCAHUTX,30.565,-97.419,301.226,6.0,301.226,429.29
CCASDCA,32.576,-116.915,679.452,9.0,675.7,679.452
CFREDVA,39.199,-78.144,0.0,2.0,0.968,0.968
CHACONY,42.255,-79.504,5.774,2.0,5.774,7.733
CHARLSC,32.845,-80.014,1.0,2.0,1.0,1.0
CHASEKS,38.368,-96.539,43.097,3.5,39.067,46.548
CHELAWA,47.422,-120.315,3.548,2.0,2.935,5.567
CHIPPMI,46.497,-84.346,23.903,3.5,23.903,30.194
CHRISMO,37.02,-93.205,28.516,3.5,28.516,31.7
CITRUFL,28.845,-82.477,0.032,2.0,0.032,0.032
CKHOSFL,25.731,-80.386,2.419,2.0,0.774,2.419
CLARKWA,45.63,-122.679,0.0,2.0,0.033,0.033
CLICONY,44.721,-73.467,17.097,3.5,16.767,25.806
CLINTPA,41.151,-77.35,157.839,6.0,157.839,178.645
CMPJVNY,42.913,-78.868,0.355,2.0,0.065,0.355
COBBJGA,33.908,-84.577,27.161,3.5,27.161,29.581
COCONAZ,35.187,-111.64,0.29,2.0,0.29,0.29
COLCASC,34.08,-80.977,28.742,3.5,26.548,28.742
COLLIFL,26.128,-81.765,14.355,3.5,14.355,23.9
COLUMOR,45.848,-122.819,10.774,3.5,10.774,15.467
COLUMPA,40.998,-76.45,38.29,3.5,28.833,38.29
COMFTFL,25.733,-80.383,1.097,2.0,0.129,1.097
CONEJCO,37.167,-106.0,2.903,2.0,2.677,2.903
CONVEWY,42.76,-105.381,0.0,2.0,0.033,0.065
COSTACA,33.652,-117.912,2.677,2.0,1.767,2.677
COWJVWA,46.141,-122.92,2.645,2.0,0.129,2.645
CSCNWWA,47.25,-122.422,909.129,9.0,909.129,971.645
CTLAFSL,41.761,-72.683,4.742,2.0,1.033,4.742
CTYORCI,41.323,-72.237,8.387,2.0,0.2,8.387
CUMBEME,43.651,-70.282,39.742,3.5,24.633,39.742
CUSTEMT,46.408,-105.845,0.0,2.0,0.194,0.194
DALHOLD,32.824,-96.872,5.323,2.0,5.323,7.452
DAVIDTN,36.157,-86.772,62.29,3.5,44.733,62.29
DEAPDMI,42.314,-83.2,9.419,2.0,8.581,9.419
DEKALAL,34.418,-85.773,8.871,2.0,7.903,13.633
DELTACO,38.74,-108.072,0.065,2.0,0.065,0.067
DENCICO,39.738,-104.991,1.226,2.0,1.226,2.032
DENHOLD,39.784,-104.849,25.258,3.5,21.968,25.258
DENICDF,39.761,-104.849,392.968,6.0,392.6,399.452
DENVECO,39.768,-104.864,4.935,2.0,1.677,4.935
DEPCOGU,13.45,144.803,33.516,3.5,32.467,42.226
DEPYOGU,13.466,144.801,0.032,2.0,0.032,0.032
DETHOLD,42.343,-83.01,0.0,2.0,0.129,0.133
DOCORNE,41.253,-95.938,154.581,6.0,131.484,154.581
DODGEWI,43.407,-88.706,178.226,6.0,177.033,182.194
DORCHMD,38.548,-76.059,29.774,3.5,29.774,36.387
DOUGLCO,39.367,-104.863,1.516,2.0,1.167,1.806
DOUGLOR,43.211,-123.341,0.194,2.0,0.097,0.194
DRURYCO,39.775,-104.846,0.0,2.0,0.161,0.161
DUTCHAK,53.871,-166.542,0.484,2.0,0.484,0.484
DUVALFL,30.326,-81.651,10.323,3.5,3.387,10.323
EAZ,32.818,-111.52,1484.387,12.0,1484.387,1495.613
ECC,32.803,-115.569,470.226,6.0,470.226,482.0
ECOLOWA,47.479,-122.284,0.0,2.0,0.067,0.067
ECTORTX,31.821,-102.36,0.355,2.0,0.258,0.567
ELBERCO,39.342,-104.464,0.065,2.0,0.065,0.065
ELGPDIL,42.04,-88.284,0.548,2.0,0.548,1.833
ELPASCO,38.788,-104.779,106.613,6.0,89.194,108.9
ELZICDF,40.666,-74.19,265.613,6.0,265.613,278.733
EPC,31.794,-106.369,775.71,9.0,770.333,790.677
ERICONY,42.884,-78.879,0.0,2.0,0.133,0.581
ERICOPA,42.124,-80.067,11.581,3.5,10.806,11.581
ESSEXMA,42.597,-70.986,7.419,2.0,7.419,21.613
ESSEXNJ,40.721,-74.127,224.581,6.0,221.467,241.581
ESSEXNY,44.282,-73.536,0.032,2.0,0.032,0.067
ETOWAAL,34.017,-86.012,364.194,6.0,345.29,373.7
EULESTX,32.829,-97.102,36.0,3.5,36.0,41.355
