detention_facility_code,name,state,start,end,place,type
RICRANS,"ACI, Cranston RI",RI,77,78,"Cranston, RI",Non-dedicated
AZDCTUC,AZ Dpt Corrections Tucson,AZ,6,7,"Tucson, AZ",Non-dedicated
IWAHOLD,AZ Rem Op Coord Center (AROCC),AZ,15,197,"Mesa, AZ",Hold
ANWHMMN,Abbott Northwestern Hosp,MN,174,175,"Minneapolis, MN",Medical
ABTHOLD,Abilene Hold Room,TX,56,86,"Abilene, TX",Hold
ABRMCTX,Abilene Regional Med Ctr,TX,144,145,"Abilene, TX",Medical
ABRXSPA,Abraxas Academy Detention Center,PA,67,189,"Morgantown, PA",Family / Children
ADACOID,Ada County Jail,ID,0,130,"Boise, ID",Non-dedicated
ADAIRKY,Adair County Regional Jail,KY,123,124,"Columbia, KY",Other
ADAMSWA,Adams County,WA,0,137,"Ritzville, WA",Non-dedicated
ADAMSMS,Adams County Det Center,MS,128,197,"Natchez, MS",Dedicated
ADAMSCO,Adams County Jail,CO,12,18,"Brighton, CO",Non-dedicated
ADDCOVT,Addison County Jail,VT,0,40,"Middlebury, VT",Non-dedicated
ADLNTCA,Adelanto ICE Processing Center,CA,34,197,"Adelanto, CA",Dedicated
NYADIRC,"Adirondack CF, Raybrook",NY,133,134,"Ray Brook, NY",Other
ADVHBCA,Adventist Health Bakersfield,CA,180,197,"Bakersfield, CA",Medical
ADVHDCA,Adventist Health Delano,CA,190,194,"Delano, CA",Medical
AGAHOLD,Agana INS,GU,11,191,"Hagatna, GU",Hold
AGC,Aguadilla SPC,PR,0,197,"Aguadilla, PR",Hold
AIRHOPR,"Airport Hotel, Saj.",PR,0,175,"Isla Verde, PR",Hotel
ALAMCNC,Alamance Co. Det. Facility,NC,0,197,"Graham, NC",Non-dedicated
ALAMOTX,Alamo Police Dept.,TX,69,157,"Alamo, TX",Other
ALAMOCO,Alamosa County Jail,CO,93,136,"Alamosa, CO",Other
ALMHOLD,Alamosa Holdroom,CO,24,194,"Alamosa, CO",Hold
ALBCONY,Albany County Jail,NY,0,126,"Albany, NY",Federal
ALBHOLD,Albany Holdroom,NY,86,197,"Latham, NY",Hold
ALBEMVA,Albemarle-Charlottesville,VA,31,71,"Charlottesville, VA",Non-dedicated
ABQHOLD,Albuquerque Hold Room,NM,7,197,"Albuquerque, NM",Hold
ALEXAVA,Alexandria City Jail,VA,3,183,"Alexandria, VA",Federal
ALEXAAL,Alexandria City Jail,VA,102,103,"Alexandria, VA",Other
JENATLA,Alexandria Staging Facility,LA,73,197,"Alexandria, LA",Hold
BHCALCA,Alhambra BHC Hospital,CA,0,76,"Rosemead, CA",Medical
ALHAMCA,Alhambra City Jail,CA,0,188,"Alhambra, CA",Federal
ALLEGNY,Allegany County Jail,NY,0,148,"Belmont, NY",Non-dedicated
ALLEGPA,Allegheny Co. Jail,PA,0,88,"Pittsburgh, PA",Federal
ALLENIN,Allen County Jail,IN,136,165,"Ft. Wayne, IN",Federal
APPSCLA,Allen Parish Public Safety Complex,LA,91,197,"Oberlin, LA",Non-dedicated
BOPALM,Allenwood (Med) FCI,PA,0,170,"White Deer, PA",Federal
APIBHCA,Alvarado Parkway Institute,CA,76,189,"La Mesa, CA",Medical
AMTHOLD,Amarillo Hold Room,TX,53,197,"Amarillo, TX",Hold
AGMDCCA,Anaheim Global Medical Center,CA,81,194,"Anaheim, CA",Medical
ANCHOAK,Anchorage Jail,AK,0,197,"Anchorage, AK",Federal
ANCHOLD,Anchorage Sub-Office Hold Room,AK,144,173,"Anchorage, AK",Hold
ANDERSC,Anderson County Det Center,SC,147,190,"Anderson, SC",Other
ANDRWTX,Andrews Sherrif's Office Co Jail,TX,111,122,"Andrews, TX",Other
AKPSYNJ,Anne Klein Phsychiatric Institute,NJ,43,60,"W. Trenton, NJ",Medical
FIPCAGA,Annex Folkston IPC,GA,115,197,"Folkston, GA",Dedicated
ANJUVMN,Anoka Co. Juvenile Center,MN,8,22,"Lino Lakes, MN",Family / Children
ANSGHTX,Anson General Hospital,TX,150,185,"Anson, TX",Medical
APACHAZ,Apache Co. Jail,AZ,3,60,"St Johns, AZ",Federal
ARAPACO,Arapahoe County Jail,CO,127,133,"Littleton, CO",Non-dedicated
AZSVCPC,Arizona Service Prison Complex,AZ,83,85,"Phoenix, AZ",Other
AZSPFLO,Arizona State Prison Comp,AZ,137,138,"Florence, AZ",Other
ARLCOVA,Arlington Co Jail,VA,0,40,"Arlington, VA",Federal
AROOSME,Aroostook County Jail,ME,0,140,"Houlton, ME",Federal
ARRMCCA,Arrowhead Regional Med Center,CA,68,196,"Colton, CA",Medical
ARTESNM,Artesia City Jail,NM,122,178,"Artesia, NM",Other
AFRC,Artesia Family Residential Center,NM,68,160,"Artesia, NM",Family / Children
ARTSINM,Artesia Law Enforcement Center,NM,96,97,"Artesia, NM",Other
ASWHRTX,Ascension Seton Williams Hosp,TX,172,176,"Round Rock, TX",Medical
ASHECNC,Ashe County Jail,NC,57,106,"Jefferson, NC",Other
ATTHOLD,"Athens, TX Hold Room",TX,105,194,"Athens, TX",Hold
ATLHOLD,Atlanta Dist. Hold Rm,GA,0,197,"Atlanta, GA",Hold
ATLANGA,Atlanta Pretrial Detn Ctr,GA,0,196,"Atlanta, GA",Federal
BOPATL,Atlanta U.S. Pen.,GA,196,197,"Atlanta, GA",Other
ASHRSFL,Atlantic Shores Hospital,FL,26,192,"Fort Lauderdale, FL",Medical
AURORCO,Aurora City Jail,CO,10,191,"Aurora, CO",Non-dedicated
AUSHOLD,Austin DRO Hold Room,TX,19,197,"Austin, TX",Hold
AVPARLA,Avoyelles Parish Prison,LA,41,46,"Marksville, LA",Non-dedicated
BIINCCO,"BI Incororated, GEO Group Company",CO,195,196,"Aurora, CO",Other
BSCORTX,BSCC Airpark Unit,TX,16,51,"Big Spring, TX",Federal
BSCDRTX,BSCC Cedar Hill Unit,TX,28,29,"Big Spring, TX",Federal
BSFLTTX,BSCC Flightline Unit,TX,28,53,"Big Spring, TX",Federal
BSGDFTX,BSCC Giles Darby Facility,TX,28,29,"Post, TX",Federal
BSNTRTX,BSCC Interstate Unit,TX,32,33,"Big Spring, TX",Federal
FLBAKCI,Baker C. I.,FL,95,157,"Sanderson, FL",Other
CACFBAK,Baker CCF,CA,54,55,"Baker, CA",Non-dedicated
BAKERFL,Baker County Sheriff Dept.,FL,11,197,"Macclenny, FL",Non-dedicated
BKLHOLD,Bakerfield Hold,CA,0,197,"Bakersfield, CA",Hold
BALHOLD,Bal D D & P,MD,0,197,"Baltimore, MD",Hold
BALDWAL,Baldwin County Cor. Center,AL,30,197,"Bay Minette, AL",Non-dedicated
BIMDCAZ,Banner Ironwood Med Ctr,AZ,174,197,"Queen Creek, AZ",Medical
BNMCTAZ,Banner Medical Ctr Tucson,AZ,178,185,"Tucson, AZ",Medical
