code,latitude,longitude,N,size
ADACOID,43.607,-116.27,6.516,2.0
ADAMSWA,47.127,-118.383,0.516,2.0
ADDCOVT,44.012,-73.164,0.032,2.0
AGC,18.494,-67.142,19.677,3.5
AIRHOPR,18.44,-66.005,0.0,2.0
AKCOOKI,61.219,-149.871,0.0,2.0
AKFAIRB,64.835,-147.761,0.0,2.0
AKHIGHL,61.304,-149.58,0.0,2.0
AKLEMON,58.361,-134.488,0.161,2.0
AKMATSU,61.601,-149.119,0.0,2.0
AKWILPT,60.583,-151.3,0.065,2.0
ALAMCNC,36.069,-79.402,57.258,3.5
ALBCONY,42.751,-73.815,9.968,2.0
ALEXAVA,38.799,-77.067,0.129,2.0
ALHAMCA,34.092,-118.127,18.645,3.5
ALLEGNY,42.212,-78.017,12.871,3.5
ALLEGPA,40.435,-79.994,15.452,3.5
ANCHOAK,61.218,-149.858,4.032,2.0
APACHAZ,34.502,-109.364,0.806,2.0
ARLCOVA,38.891,-77.083,2.161,2.0
AROOSME,46.125,-67.838,0.097,2.0
ATLANGA,33.747,-84.395,189.258,6.0
ATLHOLD,33.753,-84.393,26.71,3.5
BALHOLD,39.255,-76.681,8.452,2.0
BANNOID,42.839,-112.41,0.581,2.0
BASILLA,30.487,-92.583,421.935,6.0
BEDCITX,32.841,-97.133,42.516,3.5
BEDFOOH,41.409,-81.497,26.452,3.5
BEDFOPA,40.008,-78.505,0.323,2.0
BEFAMPA,40.38,-76.02,79.387,3.5
BENTOWA,46.221,-119.221,12.516,3.5
BERGENJ,40.874,-74.039,104.774,6.0
BERKSPA,40.383,-76.017,25.065,3.5
BERNANM,35.089,-106.651,0.032,2.0
BESECPA,40.383,-76.017,7.032,2.0
BHCALCA,34.077,-118.073,2.613,2.0
BIGHOMT,45.733,-107.609,0.032,2.0
BKLHOLD,35.374,-119.011,10.742,3.5
BLOUNTN,35.75,-83.991,2.097,2.0
BOEHOLD,31.792,-106.403,1.0,2.0
BONNEID,43.495,-112.041,0.323,2.0
BOONEKY,39.037,-84.724,59.0,3.5
BOPALM,41.128,-76.922,2.0,2.0
BOPCUM,39.597,-78.754,1.0,2.0
BOPGUA,18.423,-66.112,33.452,3.5
BOPHON,21.333,-157.929,48.355,3.5
BOPLOS,34.054,-118.238,0.0,2.0
BOPMAR,37.663,-88.984,1.0,2.0
BOPMEM,35.156,-89.867,1.0,2.0
BOPMIM,25.778,-80.193,0.0,2.0
BOPOAD,30.821,-92.641,641.065,9.0
BOPRAE,32.052,-82.874,0.0,2.0
BOPRCH,44.023,-92.44,2.0,2.0
BOPSPG,37.178,-93.323,6.065,2.0
BOPTHA,39.416,-87.451,2.0,2.0
BOTTIND,48.828,-100.45,0.194,2.0
BOWCOTX,33.421,-94.043,0.0,2.0
BPC,42.366,-71.052,0.548,2.0
BRADEFL,27.495,-82.573,1.0,2.0
BRINDMA,41.665,-70.996,183.871,6.0
BROMMNY,42.131,-75.913,0.0,2.0
BTV,43.02,-78.203,477.806,6.0
BUTLEKS,37.814,-96.83,0.226,2.0
BUTLEOH,39.39,-84.553,210.645,6.0
BWDGICA,34.063,-118.239,3.419,2.0
CAJUVMN,44.789,-93.593,0.194,2.0
CALDWMO,39.643,-94.047,51.71,3.5
CALHOMI,42.317,-85.176,206.806,6.0
CAMBRPA,40.484,-78.701,89.29,3.5
CAMCOWY,44.277,-105.51,0.194,2.0
CARBOWY,41.796,-107.224,0.0,2.0
CARJAMN,44.787,-93.593,45.387,3.5
CARROMD,39.573,-76.986,8.226,2.0
CASCAMT,47.466,-111.38,2.645,2.0
CASSCNE,41.011,-95.883,20.032,3.5
CATTANY,42.251,-78.8,0.065,2.0
CAYUGNY,42.98,-76.544,0.0,2.0
CCADCAZ,33.064,-111.379,67.677,3.5
CCAFLAZ,33.044,-111.372,202.161,6.0
CCAHUTX,30.565,-97.42,257.968,6.0
CCASDCA,32.577,-116.915,673.258,9.0
CFREDVA,39.199,-78.146,0.0,2.0
CHACONY,42.255,-79.504,1.968,2.0
CHARLSC,32.859,-80.009,1.0,2.0
CHASEKS,38.375,-96.539,46.548,3.5
CHELAWA,47.423,-120.315,2.581,2.0
CHIPPMI,46.497,-84.346,21.129,3.5
CHRISMO,37.02,-93.206,23.645,3.5
CITRUFL,28.846,-82.478,0.0,2.0
CKHOSFL,25.731,-80.386,0.903,2.0
CLARKWA,45.631,-122.678,0.0,2.0
CLICONY,44.72,-73.468,10.484,3.5
CLINTPA,41.155,-77.337,122.194,6.0
CMPJVNY,42.913,-78.868,0.452,2.0
COBBJGA,33.909,-84.581,29.0,3.5
COCONAZ,35.188,-111.64,0.903,2.0
COLCASC,34.076,-80.98,31.806,3.5
COLLIFL,26.126,-81.766,22.419,3.5
COLUMOR,45.849,-122.819,24.581,3.5
